Afrịka	Afrique
South Amerika	Amérique du Sud
Spain	Espagne
Njikota Obodo Amerika	États-Unis
Àlà	Terre
Mádu	Homo sapiens
Finland	Finlande
Poland	Pologne
Turkéy	Turquie
Obodo Békè	Europe
Asia	Asie
Olile anyanwu Amerika	Amérique du Nord
Antarctica	Antarctique
Wikipedia	Wikipédia
New York City	New York
Orunotu	Ordinateur
Intanet	Internet
Barack Obama	Barack Obama
MediaWiki	MediaWiki
London	Londres
Òrìmìlì Atlantic	Océan Atlantique
Òrìmìlì Pacific	Océan Pacifique
California	Californie
Önwa mbu	Janvier
February	Février
March	Mars (mois)
Ethiopia	Éthiopie
Ghana	Ghana
Önwa ànó	Avril
May	Mai
Önwa ishií	Juin
July	Juillet
August	Août
September	Septembre
October	Octobre
Önwa iri na otụ	Novembre
Disemba	Décembre
Odúm	Lion
Obodoézè Nà Ofú	Royaume-Uni
Wiktionary	Wiktionnaire
Brazil	Brésil
Mpaghara Russia	Russie
Wiki	Wiki
Alabama	Alabama
Jimmy Wales	Jimmy Wales
Jémanị	Allemagne
Larry Sanger	Larry Sanger
Otu	1 (nombre)
Abụo	2 (nombre)
Atọ	3 (nombre)
Anọ	4 (nombre)
Ise	5 (nombre)
0 (Ónúọgụgụ)	Zéro
Yukrain	Ukraine
Barbados	Barbade
Algeria	Algérie
Wikisource	Wikisource
Ńkú	Bois
Jisọs Kraịst	Jésus-Christ
Ákíkó mbu	Histoire
Ihunanya	Amour
Wikipedia nke ndị bekee	Wikipédia en anglais
Amamihe	Science
Wikibooks	Wikibooks
Wikiquote	Wikiquote
Ubuntu	Ubuntu
Ọmúmú-ónúọgụgụ	Mathématiques
Ostraliya	Australie
Bob Marley	Bob Marley
Physics	Physique
Áláküba	Islam
Lech Wałęsa	Lech Wałęsa
Ábu	Poésie
Ìfulū	Fleur
Ama ukwu	Ville
Ogbè	Village
Wikimedia Commons	Wikimedia Commons
Chad	Tchad
Ndia	Inde
Mën	Maine (État)
Ǹkà	Art
Osisi	Plante
Hampshire Ohúrú	New Hampshire
Jamaikạ	Jamaïque
Másáchusẹts	Massachusetts
Kónétíkùt	Connecticut
Hawaii	Hawaï
Dominika	Dominique (pays)
Arctic Ocean	Océan Arctique
Àláskà	Alaska
Israel	Israël
Flórídạ	Floride
Arizona	Arizona
Oregon	Oregon
Amerikas	Amérique
Yútạh	Utah
Charlie Chaplin	Charlie Chaplin
Angola	Angola
Albert Einstein	Albert Einstein
Togo	Togo
Benin	Bénin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Eritrea	Érythrée
Pope John Paul II	Jean-Paul II
Gabon	Gabon
Kameroon	Cameroun
Cape Verde	Cap-Vert
Niger	Niger
Naigeria	Nigeria
Julius Caesar	Jules César
Sudan	Soudan
Ọmúmú-àlà	Géographie
Àgwà	Couleur
Michigan	Michigan
Ilinoi	Illinois
North Dakota	Dakota du Nord
Sawt Dakótạ	Dakota du Sud
Montana	Montana
Waịómịn	Wyoming
Jerusalem	Jérusalem
Idaho	Idaho
Washington (nkeji obodo)	Washington (État)
Náevadạ	Nevada
Òrìmìlì India	Océan Indien
Colorado	Colorado
Òtù:Ébé ihe nọr	Catégorie:Accueil
Chicago	Chicago
Végíníyà	Virginie (État)
West Virginia	Virginie-Occidentale
Nú Yọk	État de New York
Àlá mmírí Rhode	Rhode Island
Mérílạnd	Maryland
Déláwè	Delaware
Ohaïyo	Ohio
Pensílvéníyạ	Pennsylvanie
Uetersen	Uetersen
Nú Jezị	New Jersey
Ndiánà	Indiana
Jorjiạ	Géorgie (États-Unis)
Texas	Texas
Nort Kárólínạ	Caroline du Nord
Nleda anyanwu Kàròlina	Caroline du Sud
Mississippi	Mississippi (État)
Tennessee	Tennessee
Nú Mézíkọ	Nouveau-Mexique
Minésótạ	Minnesota
Coordinated Universal Time	Temps universel coordonné
Wiskonsin	Wisconsin
Áyowạ	Iowa
Nebraska	Nebraska
Kánzạs	Kansas
Mizurị	Missouri (État)
Luwisiánà	Louisiane
Kentórkị	Kentucky
Arkinsọ	Arkansas
Oklahoma	Oklahoma
Akwụkwọ Nsọ	Bible
Ho Chi Minh City	Hô-Chi-Minh-Ville
Ezigbo ulo uka Jesu	Véritable Jésus Église
Asụsụ Inglish	Anglais
Đồng Hới	Đồng Hới
Końskowola	Końskowola
2000	2000
2003	2003
2001	2001
2005	2005
2007	2007
1909	1909
1991	1991
1993	1993
1996	1996
1998	1998
1999	1999
Önwa mbu 1	1er janvier
Önwa mbu 2	2 janvier
Önwa mbu 3	3 janvier
Önwa mbu 4	4 janvier
Önwa mbu 5	5 janvier
Önwa mbu 6	6 janvier
Önwa mbu 7	7 janvier
Önwa mbu 8	8 janvier
Önwa mbu 9	9 janvier
10 Jenụwarị	10 janvier
11 Jenụwarị	11 janvier
Önwa mbu 12	12 janvier
Önwa mbu 13	13 janvier
Önwa mbu 14	14 janvier
Önwa mbu 15	15 janvier
Önwa mbu 16	16 janvier
Önwa mbu 17	17 janvier
Önwa mbu 18	18 janvier
Önwa mbu 19	19 janvier
Önwa mbu 20	20 janvier
Önwa mbu 21	21 janvier
Önwa mbu 22	22 janvier
Önwa mbu 23	23 janvier
Önwa mbu 24	24 janvier
Önwa mbu 25	25 janvier
Önwa mbu 26	26 janvier
Önwa mbu 27	27 janvier
Önwa mbu 28	28 janvier
Önwa mbu 29	29 janvier
Önwa mbu 30	30 janvier
Önwa mbu 31	31 janvier
Önwa iri na abụọ 1	1er décembre
3 Disemba	3 décembre
1 Febrụwarị	1er février
2 Febrụwarị	2 février
3 Febrụwarị	3 février
Kurów	Kurów
4 Febrụwarị	4 février
5 Febrụwarị	5 février
6 Febrụwarị	6 février
7 Febrụwarị	7 février
8 Febrụwarị	8 février
9 Febrụwarị	9 février
10 Febrụwarị	10 février
14 Febrụwarị	14 février
13 Febrụwarị	13 février
15 Febrụwarị	15 février
11 Febrụwarị	11 février
12 Febrụwarị	12 février
19 Febrụwarị	19 février
17 Febrụwarị	17 février
16 Febrụwarị	16 février
18 Febrụwarị	18 février
20 Febrụwarị	20 février
21 Febrụwarị	21 février
22 Febrụwarị	22 février
23 Febrụwarị	23 février
24 Febrụwarị	24 février
25 Febrụwarị	25 février
26 Febrụwarị	26 février
27 Febrụwarị	27 février
28 Febrụwarị	28 février
29 Febrụwarị	29 février
2 Maachị	2 mars
3 Maachị	3 mars
5 Maachị	5 mars
1 Maachị	1er mars
7 Maachị	7 mars
8 Maachị	8 mars
4 Maachị	4 mars
10 Maachị	10 mars
11 Maachị	11 mars
6 Maachị	6 mars
13 Maachị	13 mars
9 Maachị	9 mars
12 Maachị	12 mars
15 Maachị	15 mars
14 Maachị	14 mars
16 Maachị	16 mars
17 Maachị	17 mars
18 Maachị	18 mars
19 Maachị	19 mars
20 Maachị	20 mars
1985	1985
21 Maachị	21 mars
22 Maachị	22 mars
1981	1981
23 Maachị	23 mars
24 Maachị	24 mars
25 Maachị	25 mars
20 Disemba	20 décembre
26 Maachị	26 mars
27 Maachị	27 mars
28 Maachị	28 mars
29 Maachị	29 mars
30 Maachị	30 mars
