Saot Amerika	Amérique du Sud
Norway	Norvège
Ireland	Irlande (pays)
Hungary	Hongrie
Spain	Espagne
Yunaeted Stet blong Amerika	États-Unis
Belgium	Belgique
Luxembourg	Luxembourg (pays)
Finland	Finlande
Sweden	Suède
Denmark	Danemark
Poland	Pologne
Litwania	Lituanie
Itali	Italie
Switzerland	Suisse
Austria	Autriche
Greece	Grèce
Turkey	Turquie
Portugal	Portugal
Yurop	Europe
Esia	Asie
Wikipedia	Wikipédia
Netherlands	Pays-Bas
Berlin	Berlin
Barak Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Paris	Paris
Mexico	Mexique
Pasifik	Océan Pacifique
Kalifornia	Californie
Boston, Massachusetts	Boston
Franis	France
Unaeted Kingdom	Royaume-Uni
China	Chine
Brazil	Brésil
Rusia	Russie
Alabama	Alabama
Germany	Allemagne
Belarus	Biélorussie
Iceland	Islande
Estonia	Estonie
David Cameron	David Cameron
Wan	1 (nombre)
Tu	2 (nombre)
Tri	3 (nombre)
Fo	4 (nombre)
Faef	5 (nombre)
Latvia	Lettonie
Ukraine	Ukraine
Czechia	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Vilnius	Vilnius
Moldova	Moldavie
Romania	Roumanie
Bulgaria	Bulgarie
Rome	Rome
Macedonia	Macédoine (pays)
Albania	Albanie
Croatia	Croatie
Bosnia and Herzegovina	Bosnie-Herzégovine
Azerbaijan	Azerbaïdjan
Andorra	Andorre
Cyprus	Chypre (pays)
Georgian Republic	Géorgie (pays)
Kazakhstan	Kazakhstan
Malta	Malte
Monaco	Monaco
Montenegro	Monténégro
Vatican Siti	Vatican
San Marino	Saint-Marin
Indonesia	Indonésie
Warsaw	Varsovie
Wota	Eau
Chile	Chili
Jisas Kraes	Jésus-Christ
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapour
Saens	Science
Liechtenstein	Liechtenstein
Spot	Sport
Wol Wo Tu	Seconde Guerre mondiale
Armenia	Arménie
Serbia	Serbie
Ostrelia	Australie
Argentina	Argentine
Peru	Pérou
Baeoloji	Biologie
Islam	Islam
Boteni	Botanique
Flaoa	Fleur
Wikimidia Commons	Wikimedia Commons
Moskow	Moscou
San-Peterburg	Saint-Pétersbourg
Niu Zilan	Nouvelle-Zélande
India	Inde
Aean	Fer
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papouasie-Nouvelle-Guinée
Venezuela	Venezuela
Maine	Maine (État)
Animol	Animal
Paraguay	Paraguay
Colombia	Colombie
Budisim	Bouddhisme
Bolivia	Bolivie
Niu Hampshire	New Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Hawaï
Alaska	Alaska
Florida	Floride
Arizona	Arizona
Laos	Laos
Oregon	Oregon
Yuta	Utah
Burma	Birmanie
Vietnam	Viêt Nam
Saot Koria	Corée du Sud
Bangladesh	Bangladesh
Bhutan	Bhoutan
Twitter	Twitter
Julius Caesar	Jules César
Yunaeted Nesen	Organisation des Nations unies
Jiografi	Géographie
Bren	Cerveau
Prague	Prague
Michigan	Michigan
Illinois	Illinois
Not Dakota	Dakota du Nord
Saut Dakota	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington (État)
Nevada	Nevada
Colorado	Colorado
Delhi	Delhi
Virginia	Virginie (État)
West Virginia	Virginie-Occidentale
Niu York (Bundesstaat)	État de New York
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvanie
Uetersen	Uetersen
Augustus	Auguste
Niu Yersey	New Jersey
Indiana	Indiana
Georgia	Géorgie (États-Unis)
Texas	Texas
Not Carolina	Caroline du Nord
Saut Carolina	Caroline du Sud
Barcelona	Barcelone
Mississippi	Mississippi (État)
Tennessee	Tennessee
Niu Mexico	Nouveau-Mexique
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindi	Hindi
Missouri	Missouri (État)
Louisiana	Louisiane
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
