Afrika	Afrique
Japan	Japon
Južna Amerika	Amérique du Sud
Norveška	Norvège
Engleska	Angleterre
Škotska	Écosse
Vels	Pays de Galles
Sjeverna Irska	Irlande du Nord
Republika Irska	Irlande (pays)
Mađarska	Hongrie
Španija	Espagne
Sjedinjene Američke Države	États-Unis
Belgija	Belgique
Luksemburg	Luxembourg (pays)
Svemir	Univers
Zemlja (planeta)	Terre
Život	Vie
Smrt	Mort
Čovjek	Homo sapiens
Triskaidekafobija	Triskaïdékaphobie
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikipodaci	Wikidata
Finska	Finlande
Švedska	Suède
Danska	Danemark
Poljska	Pologne
Litvanija	Lituanie
Italija	Italie
Švicarska	Suisse
Austrija	Autriche
Grčka	Grèce
Turska	Turquie
Pivo	Bière
Portugal	Portugal
Evropa	Europe
Azija	Asie
Sjeverna Amerika	Amérique du Nord
Antarktik	Antarctique
Wikipedia	Wikipédia
Holandija	Pays-Bas
Penis	Pénis
PHP	PHP
New York City	New York
Washington, D.C.	Washington (district de Columbia)
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Računar	Ordinateur
Bern	Berne
Ženeva	Genève
Zürich (grad)	Zurich
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugvaj	Uruguay
Basel	Bâle
Pisač	Imprimante
MediaWiki	MediaWiki
London	Londres
Kairo	Le Caire
Glavobolja	Céphalée
Aleksandrija	Alexandrie
Jabuka	Pomme
Pariz	Paris
Abraham Lincoln	Abraham Lincoln
Android (operativni sistem)	Android
Google	Google
Meksiko	Mexique
Atlantski okean	Océan Atlantique
Tihi okean	Océan Pacifique
Kalifornija	Californie
Boston	Boston
Ponedjeljak	Lundi
Prostor	Espace (notion)
Januar	Janvier
Februar	Février
Mart	Mars (mois)
Mars	Mars (planète)
Mars (mitologija)	Mars (mythologie)
Kenija	Kenya
Etiopija	Éthiopie
Monarh (titula)	Monarque
Gana	Ghana
April	Avril
Maj	Mai
Juni	Juin
Juli	Juillet
August	Août
Septembar	Septembre
Oktobar	Octobre
Novembar	Novembre
Decembar	Décembre
Utorak	Mardi
Srijeda	Mercredi
Četvrtak	Jeudi
Petak	Vendredi
Subota	Samedi
Nedjelja	Dimanche
Lovac (šah)	Fou (échecs)
Pješak (šah)	Pion (échecs)
Skakač (šah)	Cavalier (échecs)
Top (šah)	Tour (échecs)
Kralj (šah)	Roi (échecs)
Dama (šah)	Dame (échecs)
Lav	Lion
Francuska	France
Esperanto	Espéranto
Domaći pas	Chien
Ujedinjeno Kraljevstvo	Royaume-Uni
Mačka	Chat
Narodna Republika Kina	Chine
Francuski jezik	Français
Ribe	Poisson
Etanol	Éthanol
Alkoholno piće	Boisson alcoolisée
Brazil	Brésil
Alkohol	Alcool (chimie)
François Hollande	François Hollande
Rusija	Russie
Cetacea	Cetacea
Optičko vlakno	Fibre optique
Kvadrat	Carré
More	Mer
Crno more	Mer Noire
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Pizza	Pizza
Pasta	Pâtes alimentaires
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Njemačka	Allemagne
Bjelorusija	Biélorussie
Il Canto degli Italiani	Fratelli d’Italia
Njemački jezik	Allemand
Island	Islande
Bog	Dieu
Estonija	Estonie
David Cameron	David Cameron
Saturn	Saturne (planète)
Saturnovi prstenovi	Anneaux de Saturne
Čokolada	Chocolat
Avion	Avion
Rat	Guerre
1 (broj)	1 (nombre)
3 (broj)	3 (nombre)
4 (broj)	4 (nombre)
0 (broj)	Zéro
Beskonačnost	Infini
George W. Bush	George W. Bush
Pravougaonik	Rectangle
Pravi ugao	Angle droit
Latvija	Lettonie
Ukrajina	Ukraine
Češka	République tchèque
Slovačka	Slovaquie
Slovenija	Slovénie
Vilnius	Vilnius
Moldavija	Moldavie
Rumunija	Roumanie
Bugarska	Bulgarie
Rim	Rome
Makedonija	Macédoine (pays)
Albanija	Albanie
Grenland	Groenland
Hrvatska	Croatie
Bosna i Hercegovina	Bosnie-Herzégovine
Nuuk	Nuuk
Azerbejdžan	Azerbaïdjan
Andora	Andorre
Kipar	Chypre (pays)
Gruzija	Géorgie (pays)
Valonija	Région wallonne
Kazahstan	Kazakhstan
Malta	Malte
Flandrija	Flandre (Belgique)
Monako	Monaco
Crna Gora	Monténégro
Vatikan	Vatican
San Marino	Saint-Marin
Bruxelles	Ville de Bruxelles
Regija glavnog grada Bruxellesa	Région de Bruxelles-Capitale
Kuba	Cuba
Beliz	Belize
Eiffelov toranj	Tour Eiffel
Barbados	Barbade
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Tastatura	Clavier d'ordinateur
Java (programski jezik)	Java (langage)
Indonezija	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turski jezik	Turc
Južnoafrička Republika	Afrique du Sud
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžir	Algérie
Uragan Sandy	Ouragan Sandy
Uzbekistan	Ouzbékistan
Taškent	Tachkent
Varšava	Varsovie
Eurovision Song Contest	Concours Eurovision de la chanson
Modena	Modène
Viski	Whisky
Vino	Vin
Voda	Eau
Koža (materijal)	Cuir
Drvo (materijal)	Bois
Televizija	Télévision
Spol	Sexe
Pornografija	Pornographie
Islandski jezik	Islandais
Claude Monet	Claude Monet
Diego Velázquez	Diego Vélasquez
Čile	Chili
El Greco	El Greco
Isus	Jésus-Christ
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilée (savant)
Merkur	Mercure (planète)
Historija	Histoire
Groblje Père-Lachaise	Cimetière du Père-Lachaise
Apple Inc.	Apple
Venera	Vénus (planète)
Jezik	Langage
Ljubav	Amour
Diktatura	Dictature
Galaksija	Galaxie
Jupiter	Jupiter (planète)
Michelle Bachelet	Michelle Bachelet
Mliječni put	Voie lactée
Veliki prasak	Big Bang
Uran (planeta)	Uranus (planète)
Bretagne	Bretagne
Nicolas Sarkozy	Nicolas Sarkozy
Neptun	Neptune (planète)
Astronomija	Astronomie
Singapur	Singapour
Nauka	Science
Kosmologija	Cosmologie
Pluton	Pluton (planète naine)
Montréal	Montréal
Slobodni softver	Logiciel libre
Budućnost	Futur
Luj IX, kralj Francuske	Louis IX
Lihtenštajn	Liechtenstein
Sport	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Spomenik kulture	Monument historique
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	Première Guerre mondiale
Drugi svjetski rat	Seconde Guerre mondiale
Köln	Cologne
Korupcija	Corruption
Augusto Pinochet	Augusto Pinochet
Vodka	Vodka
Sat (instrument)	Horloge
Ubuntu (operativni sistem)	Ubuntu
Skoplje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrologija	Métrologie
Matematika	Mathématiques
U2 (grupa)	U2
Latinski jezik	Latin
Bahrein	Bahreïn
Ermenija	Arménie
Klinasto pismo	Cunéiforme
Higgsov bozon	Boson de Higgs
Srbija	Serbie
Mjesec (satelit)	Lune
Istanbul	Istanbul
Australija	Australie
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Exobiologie
Fizika	Physique
Argentina	Argentine
Telekomunikacije	Télécommunications
Peru	Pérou
Biologija	Biologie
NLO	Objet volant non identifié
Sjeverna Koreja	Corée du Nord
Kambodža	Cambodge
Kuiperov pojas	Ceinture de Kuiper
Kur'an	Coran
Dinosaurusi	Dinosaure
Zoologija	Zoologie
Islam	Islam
Kruška	Pyrus
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Botanika	Botanique
Lech Wałęsa	Lech Wałęsa
Točak	Roue
Denis Diderot	Denis Diderot
Um	Esprit
Mir (stanje)	Paix
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Evropska unija	Union européenne
Ratovi zvijezda	Star Wars
World Wide Web	World Wide Web
Žena	Femme
Sofija	Sofia
Akvadukt	Aqueduc
Don Quijote	Don Quichotte
Poezija	Poésie
Računarski virus	Virus informatique
Černobilska katastrofa	Catastrophe nucléaire de Tchernobyl
Atomski napad na Hiroshimu i Nagasaki	Bombardements atomiques d'Hiroshima et Nagasaki
Milano	Milan
Memorija (biologija)	Mémoire (psychologie)
Arthur Rimbaud	Arthur Rimbaud
Torino	Turin
Izmet	Matière fécale
Anus	Anus
Limun	Citron
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banana	Banane
Émile Zola	Émile Zola
666.	666
Cvijet	Fleur
Gugol	Gogol (nombre)
Googolplex	Gogolplex
Marijanska brazda	Fosse des Mariannes
Vladimir Visocki	Vladimir Vyssotski
Mount Everest	Everest
Anatomija	Anatomie
Grad (naseljeno mjesto)	Ville
Napoléon Bonaparte	Napoléon Ier
Fiziologija	Physiologie
Zvijezda	Étoile
Vezuv	Vésuve
Sunce	Soleil
Nebo	Ciel
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Svjetlosna godina	Année-lumière
Selo	Village
Victor Hugo	Victor Hugo
Okeanija	Océanie
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Athlétisme
Cenzura	Censure
Sunčev sistem	Système solaire
Baltičko more	Mer Baltique
Trst	Trieste
Visla	Vistule
Sijamski borac	Combattant
Elizejske poljane (Pariz)	Avenue des Champs-Élysées
Odra	Oder
Zub	Dent
Vodik	Hydrogène
Patti Smith	Patti Smith
Helij	Hélium
Pakao	Enfer
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litij	Lithium
Berilij	Béryllium
Knjiga	Livre (document)
Dan	Jour
Istočni Timor	Timor oriental
Godina	Année (calendrier)
Vijek	Siècle
Mont Blanc	Mont Blanc
Rajna	Rhin
Oslo	Oslo
Bonn	Bonn
Svi Sveti	Toussaint
Katowice	Katowice
Crna rupa	Trou noir
Luís de Camões	Luís de Camões
Cerera (patuljasta planeta)	(1) Cérès
Lisabon	Lisbonne
Rona	Rhône
Seks	Comportement sexuel humain
Erida (patuljasta planeta)	(136199) Éris
Dubai	Dubaï (ville)
Dubai (emirat)	Dubaï (émirat)
Lionel Messi	Lionel Messi
Padova	Padoue
Bor (element)	Bore
Nikola Kopernik	Nicolas Copernic
Versailles	Versailles
Ugljik	Carbone
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga
Dušik	Azote
Kisik	Oxygène
FC Inter Milano	FC Internazionale Milano
Planeta	Planète
Kleopatra VII	Cléopâtre VII
Muzika	Musique
Venecija	Venise
Po	Pô
Moskva	Moscou
Fluor	Fluor
Italijanski jezik	Italien
Neon	Néon
