Aprika	Afrique
Siapan	Japon
Saut Amerika	Amérique du Sud
Nowe	Norvège
Inglan	Angleterre
Skotlan	Écosse
Wels	Pays de Galles
Noten Aialan	Irlande du Nord
Ripablik bilong Aialan	Irlande (pays)
Hangari	Hongrie
Spen	Espagne
Ol Yunaitet Stet	États-Unis
Beljiam	Belgique
Giraun	Terre
Pinlan	Finlande
Suwidan	Suède
Denmak	Danemark
Polan	Pologne
Lituwenia	Lituanie
Itali	Italie
Suwisalan	Suisse
Ostria	Autriche
Gris	Grèce
Teki	Turquie
Posugol	Portugal
Yurop	Europe
Esia	Asie
Not Amerika	Amérique du Nord
Wikipedia	Wikipédia
Ol Nitelan	Pays-Bas
Niu Yok Siti	New York
Wasington DC	Washington (district de Columbia)
Berlin	Berlin
Berne	Berne
Intanet	Internet
Barack Obama	Barack Obama
Landen	Londres
Kairo	Le Caire
Paris	Paris
Meksiko	Mexique
Solwara Atlantik	Océan Atlantique
Solwara Pasifik	Océan Pacifique
Mande	Lundi
Janueri	Janvier
Februeri	Février
Mas	Mars (mois)
Epril	Avril
Me	Mai
Jun	Juin
Julai	Juillet
Ogas	Août
Septemba	Septembre
Oktoba	Octobre
Novemba	Novembre
Disemba	Décembre
Tunde	Mardi
Trinde	Mercredi
Fonde	Jeudi
Fraide	Vendredi
Sarere	Samedi
Sande	Dimanche
Frens	France
Esperanto	Espéranto
Yunaitet Kingdom	Royaume-Uni
Ol Manmeri Ripablik bilong Saina	Chine
Tok Frens	Français
Wiktionary	Wiktionnaire
Rasia	Russie
San Paulu	São Paulo
Siamani	Allemagne
Belaras	Biélorussie
Tok Jeman	Allemand
Aislan	Islande
God	Dieu
Estonia	Estonie
George Walker Bush	George W. Bush
Latvia	Lettonie
Yukren	Ukraine
Sek Ripablik	République tchèque
Slovakia	Slovaquie
Vilnius	Vilnius
Romenia	Roumanie
Balgeria	Bulgarie
Rom	Rome
Albenia	Albanie
Greenland	Groenland
Krowesia	Croatie
Azerbaijan	Azerbaïdjan
Andora	Andorre
Saipras	Chypre (pays)
San Marino	Saint-Marin
Brussels	Ville de Bruxelles
Indonisia	Indonésie
Saut Aprika	Afrique du Sud
Woso	Varsovie
Tok Aislan	Islandais
Jisas	Jésus-Christ
Histori	Histoire
Tokples	Langage
Yurenes (planet)	Uranus (planète)
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomie
Ubuntu	Ubuntu
Szczecin	Szczecin
Ol matematik	Mathématiques
U2	U2
Tok Latin	Latin
Armenia	Arménie
Sebia	Serbie
Mun (i stap long heven)	Lune
Ostrelia	Australie
Save long laip	Biologie
Not Koria	Corée du Nord
Islam	Islam
