Afraga	Afrique
Bean	Femme
Sofia	Sofia
Amar-uisge	Aqueduc
Bàrdachd	Poésie
Chernobyl	Catastrophe nucléaire de Tchernobyl
Milano	Milan
Torino	Turin
Cac	Matière fécale
Achlais	Aisselle
Liomaid	Citron
Stendhal	Stendhal
Banana	Banane
Émile Zola	Émile Zola
666	666
Blàth	Fleur
Beinn Everest	Everest
Eòlas-bodhaig	Anatomie
Baile mòr	Ville
Napoleon Bonaparte	Napoléon Ier
Reul	Étoile
Grian	Soleil
Adhar	Ciel
Louis Pasteur	Louis Pasteur
Clachan	Village
Victor Hugo	Victor Hugo
Roinn a' Chuain Shèimh	Océanie
An Crios-Grèine	Système solaire
Am Muir Baltach	Mer Baltique
Haidridean	Hydrogène
Fiacal	Dent humaine
Ifrinn	Enfer
Angela Merkel	Angela Merkel
Leabhar	Livre (document)
Là	Jour
Tiomor an Ear	Timor oriental
Oidhche	Nuit
Bliadhna	Année (calendrier)
Linn (100 bliadhnaichean)	Siècle
Łódź	Łódź
Oslo	Oslo
Bonn (a' Ghearmailt)	Bonn
Katowice	Katowice
Toll Dubh	Trou noir
Luís Vaz de Camões	Luís de Camões
Lisbon	Lisbonne
Ì Chaluim Chille	Iona (Écosse)
Padova	Padoue
Nicolaus Copernicus	Nicolas Copernic
Ludwigsburg	Ludwigsbourg
Gualan	Carbone
Naitridean	Azote
Bergamo	Bergame
Ogsaidean	Oxygène
Planaid	Planète
Cleopatra	Cléopâtre VII
Ceòl	Musique
Venezia	Venise
Roazhon	Rennes
Lille	Lille
Moscobha	Moscou
Eadailtis	Italien
Sankt Peterburg	Saint-Pétersbourg
An t-Siad	Tchad
Sodium	Sodium
Almain	Aluminium
Sealainn Nuadh	Nouvelle-Zélande
Na h-Innseachan	Inde
Sileagan	Silicium
Tubhalu	Tuvalu
Rosg	Prose
Iarann	Fer
Tonga	Tonga
Samoa (Dùthaich)	Samoa
Na h-Eileanan Sholaimh	Salomon (pays)
Bhanuatu	Vanuatu
Delft	Delft
Gini Nuadh Phaputhach	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Zuid-Holland	Hollande-Méridionale
Palau	Palaos
Nauru	Nauru
Firefox	Mozilla Firefox
Noord-Holland	Hollande-Septentrionale
Na Meanbh Eileanan	Micronésie (pays)
Zeeland	Zélande
Flevoland	Flevoland
Na h-Eileanan Mharshall	Îles Marshall
Kiribati	Kiribati
Mongòilia	Mongolie
Fìdi	Fidji
A' Bheiniseala	Venezuela
Tàileasg	Échecs
Maine	Maine (État)
Each	Cheval
Amsterdam	Amsterdam
Ball-airm	Arme
Beathach	Animal
Suranam	Suriname
Paraguaidh	Paraguay
Guiana	Guyana
Ealain	Art
Eacuador	Équateur (pays)
Coloimbia	Colombie
Bùdachas	Bouddhisme
Groningen	Groningue (ville)
Boilibhia	Bolivie
Groningen (Roinn)	Groningue (province)
Copar	Cuivre
Trianaid agus Tobago	Trinité-et-Tobago
Lus	Plante
Naomh Bhionsant agus Eileanan Greanadach	Saint-Vincent-et-les-Grenadines
Hampshire Nuadh	New Hampshire
Naomh Lùisia	Sainte-Lucie
Leonardo Da Vinci	Léonard de Vinci
Naomh Crìstean agus Nibheis	Saint-Christophe-et-Niévès
Fungas	Fungi
Dario Fo	Dario Fo
Iaimeuca	Jamaïque
Greanada	Grenade (pays)
Fryslân	Frise (province)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatamala	Guatemala
Gelderland	Gueldre (province)
Utrecht (Roinn)	Utrecht (province)
Na h-Eileanan Bhathama	Bahamas
Connecticut	Connecticut
Cearc	Gallus gallus domesticus
Antigua agus Barbuda	Antigua-et-Barbuda
Hawaii	Hawaï
Hondùras	Honduras
Doiminicia	Dominique (pays)
Jersey	Jersey
Poblachd Dhoiminicia	République dominicaine
Muc	Porc
Cuan Argtach	Océan Arctique
Haiti	Haïti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu
El Salbhador	Salvador
Zwolle	Zwolle
Ioràn	Iran
Ioràc	Irak
Alasca	Alaska
Assen	Assen
Costa Rica	Costa Rica
Iosrael	Israël
Utrecht	Utrecht
Panama	Panama
Iemen	Yémen
Lausanne	Lausanne
Pòlais	Polonais
Iòrdan (dùthaich)	Jordanie
Niocaragua	Nicaragua
Florida	Floride
Cìorgastan	Kirghizistan
Arizona	Arizona
Cubhait	Koweït
Làthos	Laos
Leabanon	Liban
Oregon	Oregon
Na h-Eileanan Mhaladaibh	Maldives
Na h-Aimearagan	Amérique
Utah	Utah
Bò	Bos taurus
Malaidhsia	Malaisie
Valais (Canton)	Canton du Valais
Mianmar	Birmanie
Neapàl	Népal
Omàn	Oman
Pagastàn	Pakistan
Catar	Qatar
Aràibia nan Sabhd	Arabie saoudite
Sri Lanca	Sri Lanka
Iosif Stalin	Joseph Staline
Siria	Syrie
Platon	Platon
Joseph Brodsky	Joseph Brodsky
Taidigeastàn	Tadjikistan
Poblachd na Sìne	Taïwan
Aristoteles	Aristote
Dùthaich nan Tàidh	Thaïlande
Trèana	Train
Rèidio	Radiodiffusion
Turcmanastàn	Turkménistan
Na h-Iomaratan Arabach Aonaichte	Émirats arabes unis
Bhiet-Nam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Coirèa a Deas	Corée du Sud
Afganastan	Afghanistan
J.R.R. Tolkien	J. R. R. Tolkien
Òr	Or
Bangladais	Bangladesh
Franz Kafka	Franz Kafka
Màili	Mali
Sokrates	Socrate
Angola	Angola
Butàn	Bhoutan
Brùnaigh	Brunei
Tansania	Tanzanie
Roald Amundsen	Roald Amundsen
Na h-Eileanan Filipineach	Philippines
Poblachd Meadhan Afraga	République centrafricaine
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tògo	Togo
Tuinisia	Tunisie
Saimbia	Zambie
Siombabue	Zimbabwe
Beijing	Pékin
Sudàn a Deas	Soudan du Sud
Beinin	Bénin
Botsuana	Botswana
Buirciona Faso	Burkina Faso
Burundaidh	Burundi
Na h-Eileanan Chomoro	Comores (pays)
A' Chongo	République du Congo
Poblachd Dheamocrach na Congo	République démocratique du Congo
San Antonio, Texas	San Antonio
Diobùtaidh	Djibouti
Bayern	Bavière
Gini Mheadhan-Chriosach	Guinée équatoriale
Baden-Württemberg	Bade-Wurtemberg
Eartra	Érythrée
New Delhi	New Delhi
Pàpa Iain Pòl II	Jean-Paul II
Amersfoort	Amersfoort
Tbilisi	Tbilissi
Gabon	Gabon
Pàipear-èibhinn	Bande dessinée
A' Ghaimbia	Gambie
Gini	Guinée
Gini-Bissau	Guinée-Bissau
Costa Ìbhri	Côte d'Ivoire
Camarun	Cameroun
Cape Verde	Cap-Vert
Leasoto	Lesotho
Libèiria	Liberia
Libia	Libye
Aachen	Aix-la-Chapelle
Madagascar	Madagascar
Malabhaidh	Malawi
Stuttgart	Stuttgart
Moratainia	Mauritanie
Na h-Eileanan Mhoiriseas	Maurice (pays)
Maroco	Maroc
Mòsaimbic	Mozambique
Naimibia	Namibie
France Prešeren	France Prešeren
Nìgeir	Niger
Nìgeiria	Nigeria
Biel/Bienne	Bienne
Charles Darwin	Charles Darwin
Uganda	Ouganda
Rubhanda	Rwanda
São Tomé agus Príncipe	Sao Tomé-et-Principe
Karlsruhe	Karlsruhe
Seanagal	Sénégal
Na h-Eileanan Sheiseall	Seychelles
Carl Linnaeus	Carl von Linné
Siarra Leòmhann	Sierra Leone
Somàilia	Somalie
Iulius Caesar	Jules César
Sudan	Soudan
Dùthaich nan Suasaidh	Swaziland
Bogha-frois	Arc-en-ciel
Hamburg	Hambourg
Loch Ontario	Lac Ontario
Gnè-fhàs	Évolution (biologie)
Loch Superior	Lac Supérieur
Dante Alighieri	Dante Alighieri
Geòlas	Géologie
Cruinn-eòlas	Géographie
Craiceann	Peau
Ainmear	Substantif
Pràg	Prague
Airgead (meatailt)	Argent
Staoin	Étain
Noord-Brabant	Brabant-Septentrional
Bill Clinton	Bill Clinton
Lorraine	Lorraine
Alsace	Alsace
Auvergne	Auvergne
Mumbai	Bombay
Michigan	Michigan
Loch Michigan	Lac Michigan
Bourgogne	Bourgogne
Aquitaine	Aquitaine
Puerto Rico	Porto Rico
Kerala	Kerala
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklembourg-Poméranie-Occidentale
Sagsainn Ìosail	Basse-Saxe
Nordrhein-Westfalen	Rhénanie-du-Nord-Westphalie
Hessen	Hesse (Land)
Rheinland-Pfalz	Rhénanie-Palatinat
Saarland	Sarre (Land)
Sagsainn	Saxe (Land)
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thuringe
Sagsainn-Anhalt	Saxe-Anhalt
Dakota a Tuath	Dakota du Nord
Brandenburg	Brandebourg
Lombardia	Lombardie
Dakota a Deas	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Piemonte	Piémont
Ierusalem	Jérusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Vallée d'Aoste
Washington (stàit)	Washington (État)
Bruce Springsteen	Bruce Springsteen
Nevada	Nevada
Trentino-Alto Adige/Südtirol	Trentin-Haut-Adige
Cuan Innseanach	Océan Indien
Veneto	Vénétie
Am Muir Caraibeach	Mer des Caraïbes
Friuli-Venezia Giulia	Frioul-Vénétie julienne
Kofi Annan	Kofi Annan
Liguria	Ligurie
Colorado	Colorado
Emilia-Romagna	Émilie-Romagne
Frédéric Chopin	Frédéric Chopin
Toscana	Toscane
Marche	Marches
Umbria	Ombrie
Roinn-seòrsa:Categories	Catégorie:Accueil
Lazio	Latium
Abruzzo	Abruzzes
Grenoble	Grenoble
Dàmais	Dames
Dortmund	Dortmund
Gent	Gand
Chicago	Chicago
The Beatles	The Beatles
Maastricht	Maastricht
Arnhem	Arnhem
Spàinntis	Espagnol
Friedrich A. von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Pittsburgh, Pennsylvania	Pittsburgh
Opra	Opéra
Philadelphia, Pennsylvania	Philadelphie
Kolkata	Calcutta
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
Damhan-allaidh	Araneae
Islamabad	Islamabad
Meas	Fruit (botanique)
Muncaidh	Singe
Virginia	Virginie (État)
Virginia an Iar	Virginie-Occidentale
Matterhorn	Cervin
Loch Huron	Lac Huron
Eabhraig Nuadh (stàit)	État de New York
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Ilitch Lénine
Ohio	Ohio
Virgil	Virgile
Pennsylvania	Pennsylvanie
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Jersey Nuadh	New Jersey
Giobraltair	Gibraltar
Fionnlannais	Finnois
Indiana	Indiana
Vespasian	Vespasien
Juventus	Juventus Football Club
Trajan	Trajan
Georgia (stàit)	Géorgie (États-Unis)
Marcus Aurelius	Marc Aurèle
Zagreb	Zagreb
Campania	Campanie
Texas	Texas
Molise	Molise
Puglia	Pouilles
Genova	Gênes
Basilicata	Basilicate
Carolina a Tuath	Caroline du Nord
Cromanachd	Hockey sur gazon
Carolina a Deas	Caroline du Sud
Calabria	Calabre
Sicilia	Sicile
Manila	Manille
Sardainia	Sardaigne
Maurits Cornelis Escher	Maurits Cornelis Escher
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Meagsago (baile)	Mexico
Tokyo	Tokyo
La Paz	La Paz
Barcelona	Barcelone
Anann	Ananas
Mississippi	Mississippi (État)
Fernão de Magalhães	Fernand de Magellan
Mississippi (abhainn)	Mississippi (fleuve)
Amar-snàmh	Piscine
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abidjan
Abu Dhabi	Abou Dabi (ville)
Astana	Astana
Meagsago Nuadh	Nouveau-Mexique
An Àithne	Athènes
Minnesota	Minnesota
Baghdad	Bagdad
Caracas	Caracas
Àm Coitcheann Co-òrdanaichte	Temps universel coordonné
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Baile Guatemala	Guatemala (ville)
Kansas	Kansas
La Habana	La Havane
Hindi	Hindi
Missouri	Missouri (État)
Louisiana	Louisiane
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Édith Piaf	Édith Piaf
Oklahoma	Oklahoma
An Cuan a Tuath	Mer du Nord
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hànobhar	Hanovre
Düsseldorf	Düsseldorf
Mainz	Mayence
Wiesbaden	Wiesbaden
Saarbrücken	Sarrebruck
München	Munich
Erfurt	Erfurt
Dresden	Dresde
Magdeburg	Magdebourg
Innsbruck	Innsbruck
Vienna	Vienne (Autriche)
Copenhagen	Copenhague
Stockholm	Stockholm
Helsinki	Helsinki
Baile Átha Cliath	Dublin
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Francfort-sur-le-Main
Wrocław	Wrocław
Lucsamburg (baile)	Luxembourg (ville)
Vaduz	Vaduz
Bìoball	Bible
San Marino (baile)	Ville de Saint-Marin
Phnom Penh	Phnom Penh
Ho Chi Minh (baile)	Hô-Chi-Minh-Ville
Hanoi	Hanoï
Eaglais Fhìor Ìosa	Véritable Jésus Église
Beurla	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Đồng Hới	Đồng Hới
Concepción	Concepción (Chili)
Bologna	Bologne
Kiev	Kiev
Ontario	Ontario
Ottawa	Ottawa
Juba	Djouba
Manitoba	Manitoba
Alberta	Alberta
Alba Nuadh	Nouvelle-Écosse
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salam
Khartoum	Khartoum
Brunswick Nuadh	Nouveau-Brunswick
Columbia Bhreatannach	Colombie-Britannique
Eilean Eòin	Île-du-Prince-Édouard
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Dà-ogsaid gualain	Dioxyde de carbone
2013	2013
2014	2014
2015	2015
An Talamh Ùr is Labrador	Terre-Neuve-et-Labrador
2008	2008
Roinnean an Iar Thuath	Territoires du Nord-Ouest
Roinn an Iukon	Yukon
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Iqaluit	Iqaluit
1900	1900
1901	1901
Livius	Tite-Live
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
Whitehorse	Whitehorse
1992	1992
Yellowknife	Yellowknife
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Baile Naoimh Eòin, an Talamh Ùr	Saint-Jean de Terre-Neuve
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberg
1999	1999
1917	1917
1918	1918
Biadh	Nourriture
Edmonton	Edmonton
Nathair	Serpentes
Bochum	Bochum
Regina, Saskatchewan	Regina
Baile Sheàrlot	Charlottetown
Victoria, Columbia Bhreatannach	Victoria (Colombie-Britannique)
Winnipeg	Winnipeg
Fredericton	Fredericton
Halafacs	Halifax (Nouvelle-Écosse)
Quebec (baile)	Québec (ville)
1 am Faoilleach	1er janvier
2 am Faoilleach	2 janvier
1920	1920
3 am Faoilleach	3 janvier
1919	1919
1921	1921
1922	1922
Lund	Lund (Suède)
4 am Faoilleach	4 janvier
1923	1923
1924	1924
Georges Pompidou	Georges Pompidou
Romulus agus Remus	Romulus et Rémus
5 am Faoilleach	5 janvier
Malmö	Malmö
6 am Faoilleach	6 janvier
7 am Faoilleach	7 janvier
8 am Faoilleach	8 janvier
9 am Faoilleach	9 janvier
10 am Faoilleach	10 janvier
11 am Faoilleach	11 janvier
12 am Faoilleach	12 janvier
Buzz Aldrin	Buzz Aldrin
13 am Faoilleach	13 janvier
Birmingham	Birmingham
14 am Faoilleach	14 janvier
15 am Faoilleach	15 janvier
16 am Faoilleach	16 janvier
17 am Faoilleach	17 janvier
18 am Faoilleach	18 janvier
19 am Faoilleach	19 janvier
20 am Faoilleach	20 janvier
Tionndadh Gnìomhachais	Révolution industrielle
21 am Faoilleach	21 janvier
22 am Faoilleach	22 janvier
23 am Faoilleach	23 janvier
Impireachd na Ròimhe	Empire romain
24 am Faoilleach	24 janvier
25 am Faoilleach	25 janvier
Minsk	Minsk
26 am Faoilleach	26 janvier
27 am Faoilleach	27 janvier
28 am Faoilleach	28 janvier
29 am Faoilleach	29 janvier
30 am Faoilleach	30 janvier
31 am Faoilleach	31 janvier
2 an Dùbhlachd	2 décembre
1 an Dùbhlachd	1er décembre
3 an Dùbhlachd	3 décembre
7 an Dùbhlachd	7 décembre
5 an Dùbhlachd	5 décembre
8 an Dùbhlachd	8 décembre
10 an Dùbhlachd	10 décembre
6 an Dùbhlachd	6 décembre
9 an Dùbhlachd	9 décembre
4 an Dùbhlachd	4 décembre
1 an Gearran	1er février
2 an Gearran	2 février
3 an Gearran	3 février
Kurów	Kurów
4 an Gearran	4 février
5 an Gearran	5 février
6 an Gearran	6 février
7 an Gearran	7 février
8 an Gearran	8 février
9 an Gearran	9 février
10 an Gearran	10 février
Ceimigeachd	Chimie
Led Zeppelin	Led Zeppelin
14 an Gearran	14 février
13 an Gearran	13 février
15 an Gearran	15 février
11 an Gearran	11 février
12 an Gearran	12 février
19 an Gearran	19 février
17 an Gearran	17 février
16 an Gearran	16 février
18 an Gearran	18 février
20 an Gearran	20 février
21 an Gearran	21 février
22 an Gearran	22 février
23 an Gearran	23 février
24 an Gearran	24 février
25 an Gearran	25 février
26 an Gearran	26 février
27	27
27 an Gearran	27 février
28 an Gearran	28 février
11 an Dùbhlachd	11 décembre
29 an Gearran	29 février
12 an Dùbhlachd	12 décembre
13 an Dùbhlachd	13 décembre
14 an Dùbhlachd	14 décembre
15 an Dùbhlachd	15 décembre
2 am Màrt	2 mars
3 am Màrt	3 mars
5 am Màrt	5 mars
1 am Màrt	1er mars
7 am Màrt	7 mars
8 am Màrt	8 mars
4 am Màrt	4 mars
10 am Màrt	10 mars
11 am Màrt	11 mars
6 am Màrt	6 mars
13 am Màrt	13 mars
9 am Màrt	9 mars
12 am Màrt	12 mars
15 am Màrt	15 mars
14 am Màrt	14 mars
16 an Dùbhlachd	16 décembre
17 an Dùbhlachd	17 décembre
16 am Màrt	16 mars
17 am Màrt	17 mars
Uisge For	Forth (fleuve)
18 am Màrt	18 mars
19 am Màrt	19 mars
1989	1989
1988	1988
20 am Màrt	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
21 am Màrt	21 mars
1983	1983
22 am Màrt	22 mars
1982	1982
1981	1981
18 an Dùbhlachd	18 décembre
1980	1980
23 am Màrt	23 mars
Mogadishu	Mogadiscio
19 an Dùbhlachd	19 décembre
24 am Màrt	24 mars
25 am Màrt	25 mars
20 an Dùbhlachd	20 décembre
26 am Màrt	26 mars
27 am Màrt	27 mars
28 am Màrt	28 mars
29 am Màrt	29 mars
30 am Màrt	30 mars
31 am Màrt	31 mars
Nassau	Nassau (Bahamas)
Ṣan'ā'	Sanaa
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Pàpa Beinidict XVI	Benoît XVI
15 an Giblean	15 avril
13 an Giblean	13 avril
12 an Giblean	12 avril
14 an Giblean	14 avril
11 an Giblean	11 avril
10 an Giblean	10 avril
8 an Giblean	8 avril
9 an Giblean	9 avril
7 an Giblean	7 avril
6 an Giblean	6 avril
5 an Giblean	5 avril
4 an Giblean	4 avril
3 an Giblean	3 avril
1 an Giblean	1er avril
2 an Giblean	2 avril
16 an Giblean	16 avril
17 an Giblean	17 avril
18 an Giblean	18 avril
19 an Giblean	19 avril
20 an Giblean	20 avril
21 an Giblean	21 avril
22 an Giblean	22 avril
23 an Giblean	23 avril
24 an Giblean	24 avril
25 an Giblean	25 avril
26 an Giblean	26 avril
27 an Giblean	27 avril
28 an Giblean	28 avril
29 an Giblean	29 avril
30 an Giblean	30 avril
Saideal (reul-eòlas)	Satellite naturel
1 an Cèitean	1er mai
2 an Cèitean	2 mai
3 an Cèitean	3 mai
4 an Cèitean	4 mai
5 an Cèitean	5 mai
6 an Cèitean	6 mai
7 an Cèitean	7 mai
8 an Cèitean	8 mai
9 an Cèitean	9 mai
10 an Cèitean	10 mai
11 an Cèitean	11 mai
12 an Cèitean	12 mai
13 an Cèitean	13 mai
14 an Cèitean	14 mai
15 an Cèitean	15 mai
16 an Cèitean	16 mai
17 an Cèitean	17 mai
18 an Cèitean	18 mai
19 an Cèitean	19 mai
20 an Cèitean	20 mai
21 an Cèitean	21 mai
22 an Cèitean	22 mai
23 an Cèitean	23 mai
24 an Cèitean	24 mai
25 an Cèitean	25 mai
26 an Cèitean	26 mai
27 an Cèitean	27 mai
28 an Cèitean	28 mai
29 an Cèitean	29 mai
30 an Cèitean	30 mai
31 an Cèitean	31 mai
Paul McCartney	Paul McCartney
Pit	Con
21 an Dùbhlachd	21 décembre
Pàpa Pius XII	Pie XII
14 an t-Ògmhios	14 juin
15 an t-Ògmhios	15 juin
13 an t-Ògmhios	13 juin
10 an t-Ògmhios	10 juin
