Afrika	Afrique
Japan	Japon
Suamerika	Amérique du Sud
Norvegia	Norvège
Bro-Saoz	Angleterre
Bro-Skos	Écosse
Kembre	Pays de Galles
Norzhiwerzhon	Irlande du Nord
Republik Iwerzhon	Irlande (pays)
Hungaria	Hongrie
Spagn	Espagne
Stadoù-Unanet Amerika	États-Unis
Belgia	Belgique
Luksembourg (bro)	Luxembourg (pays)
Hollved	Univers
Douar (planedenn)	Terre
Buhez	Vie
Marv	Mort
Den	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Leet speak	Leet speak
Stanley Kubrick	Stanley Kubrick
Finland	Finlande
Sveden	Suède
Danmark	Danemark
Polonia	Pologne
Lituania	Lituanie
Italia	Italie
Suis	Suisse
Aostria	Autriche
Gres (bro)	Grèce
Turkia	Turquie
Bier	Bière
Portugal	Portugal
Europa (kevandir)	Europe
Azia	Asie
Norzhamerika	Amérique du Nord
Antarktika	Antarctique
Wikipedia	Wikipédia
Izelvroioù	Pays-Bas
Kalc'h	Pénis
Lavar PHP	PHP
New York	New York
Washington D.C.	Washington (district de Columbia)
San Francisco (Kalifornia)	San Francisco
Berlin	Berlin
Los Angeles (Kalifornia)	Los Angeles
Urzhiataer	Ordinateur
Bern	Berne
Geneva	Genève
Zürich	Zurich
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Bâle
Moullerez	Imprimante
Londrez	Londres
Kaero	Le Caire
Aleksandria	Alexandrie
Alexandria (Virginia)	Alexandria (Virginie)
Aval	Pomme
Pariz	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mec'hiko	Mexique
Meurvor Atlantel	Océan Atlantique
Meurvor Habask	Océan Pacifique
Kalifornia	Californie
Boston	Boston
Lun (deiz)	Lundi
Egor	Espace (notion)
Genver	Janvier
C'hwevrer	Février
Meurzh (miz)	Mars (mois)
Meurzh (planedenn)	Mars (planète)
Meurzh (doue)	Mars (mythologie)
Kenya	Kenya
Etiopia	Éthiopie
Ghana	Ghana
Ebrel	Avril
Mae	Mai
Mezheven	Juin
Gouere	Juillet
Eost	Août
Gwengolo	Septembre
Here	Octobre
Du	Novembre
Kerzu	Décembre
Meurzh (deiz)	Mardi
Merc'her (deiz)	Mercredi
Yaou (deiz)	Jeudi
Gwener (deiz)	Vendredi
Sadorn (deiz)	Samedi
Sul (deiz)	Dimanche
Leon (loen)	Lion
Bro-C'hall	France
Esperanteg	Espéranto
Ki	Chien
Rouantelezh-Unanet	Royaume-Uni
Kazh	Chat
Republik Pobl Sina	Chine
Galleg	Français
Wikeriadur	Wiktionnaire
Pesk	Poisson
Etanol	Éthanol
Brazil	Brésil
Alkool	Alcool (chimie)
François Hollande	François Hollande
Rusia	Russie
Morvil	Cetacea
Yorkshire	Yorkshire
Karrez	Carré
Mor	Mer
Mor Du	Mer Noire
Pi (lizherenn)	Pi (lettre grecque)
Mangez	Mangue
Wiki	Wiki
Toronto	Toronto
Alabama (stad)	Alabama
São Paulo (kêr)	São Paulo
São Paulo (stad)	État de São Paulo
Kebek	Québec
Pizza	Pizza
Wikimedia Foundation	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alamagn	Allemagne
Belarus	Biélorussie
Alamaneg	Allemand
Island	Islande
Doue	Dieu
Estonia	Estonie
David Cameron	David Cameron
Sadorn (planedenn)	Saturne (planète)
Chokolad	Chocolat
Kerez	Cerise
Nijerez	Avion
Brezel	Guerre
Unan	1 (nombre)
Daou	2 (nombre)
Tri	3 (nombre)
Pevar	4 (nombre)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Skouergorneg	Rectangle
Latvia	Lettonie
Ukraina	Ukraine
Republik Tchek	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Vilnius	Vilnius
Moldova	Moldavie
Roumania	Roumanie
Bulgaria	Bulgarie
Roma	Rome
Republik Makedonia	Macédoine (pays)
Albania	Albanie
Greunland	Groenland
Kroatia	Croatie
Bosnia-ha-Herzegovina	Bosnie-Herzégovine
Nuuk	Nuuk
Azerbaidjan	Azerbaïdjan
Andorra	Andorre
Republik Kiprenez	Chypre (pays)
Jorjia (bro)	Géorgie (pays)
Wallonia	Région wallonne
Kazakstan	Kazakhstan
Malta	Malte
Flandrez	Flandre (Belgique)
Monako	Monaco
Montenegro	Monténégro
Keoded ar Vatikan	Vatican
San Marino	Saint-Marin
Brusel	Ville de Bruxelles
Rannvro Brusel-Kêr-benn	Région de Bruxelles-Capitale
Kuba	Cuba
Belize	Belize
Tour Eiffel	Tour Eiffel
Barbados	Barbade
Volkswagen	Volkswagen
Touchennaoueg (urzhiataerezh)	Clavier d'ordinateur
Indonezia	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkeg	Turc
Suafrika	Afrique du Sud
Jean-François Champollion	Jean-François Champollion
Aljeria	Algérie
Wikimammenn	Wikisource
Ouzbekistan	Ouzbékistan
Poznań	Poznań
Tochkent	Tachkent
Varsovia	Varsovie
Ìle	Islay (Écosse)
Ardbeg	Ardbeg
Eurovision	Concours Eurovision de la chanson
Kilchoman	Kilchoman
Talisker	Talisker
Modena	Modène
Wiski Lagavulin	Lagavulin
Wiski	Whisky
Gwin	Vin
Dour	Eau
Cognac	Cognac (Charente)
Lêr	Cuir
Koad	Bois
Teurgn	Tours
Skinwel	Télévision
Reizh	Sexe
Pornografiezh	Pornographie
Islandeg	Islandais
Claude Monet	Claude Monet
Diego Velázquez	Diego Vélasquez
Chile	Chili
El Greco	El Greco
Jezuz Nazaret	Jésus-Christ
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilée (savant)
Merc'her (planedenn)	Mercure (planète)
Istor	Histoire
Apple	Apple
Gwener (planedenn)	Vénus (planète)
Yezh	Langage
Karantez	Amour
Diktatouriezh	Dictature
Galaksienn	Galaxie
Yaou (planedenn)	Jupiter (planète)
Michelle Bachelet	Michelle Bachelet
Hent Sant-Jakez (galaksienn)	Voie lactée
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Big Bang
Ouran (planedenn)	Uranus (planète)
Breizh	Bretagne
Nicolas Sarkozy	Nicolas Sarkozy
Emgann Marignano	Bataille de Marignan
Neizhan (planedenn)	Neptune (planète)
Steredoniezh	Astronomie
Singapour	Singapour
Skiant	Science
Ploudon (korrblanedenn)	Pluton (planète naine)
Montreal	Montréal
Poellad frank	Logiciel libre
Kemper	Quimper
La Flèche	La Flèche
Mari, mamm Jezuz	Marie (mère de Jésus)
Loeiz IX (Bro-C'hall)	Louis IX
Liechtenstein	Liechtenstein
Sport	Sport
Cambridge	Cambridge
Park broadel Yellowstone	Parc national de Yellowstone
Adolf Hitler	Adolf Hitler
Blanca Kastilha	Blanche de Castille
Facebook	Facebook
WikiLeaks	WikiLeaks
Brezel-bed kentañ	Première Guerre mondiale
Eil Brezel-bed	Seconde Guerre mondiale
Köln	Cologne
Augusto Pinochet	Augusto Pinochet
