Afrika	Afrique
Japani	Japon
Amerika Kujalleq	Amérique du Sud
Norge	Norvège
Irlandi	Irlande (pays)
Ungarni	Hongrie
Spania	Espagne
Naalagaaffeqatigiit	États-Unis
Belgia	Belgique
Luxembourg (nunaat)	Luxembourg (pays)
Nunarsuaq	Terre
Finlandi	Finlande
Svenskit Nunaat	Suède
Danmarki	Danemark
Poleni	Pologne
Litaueni	Lituanie
Italia	Italie
Schweizi	Suisse
Østrigi	Autriche
Grækerit Nunaat	Grèce
Tyrkia	Turquie
Portugal	Portugal
Europa	Europe
Asia	Asie
Amerika Avannarleq	Amérique du Nord
Qalasersuaq Kujalleq	Antarctique
Wikipedia	Wikipédia
Hollandi	Pays-Bas
Berlin	Berlin
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Cairo	Le Caire
Alexandria	Alexandrie
Paris	Paris
Mexico	Mexique
Ataasinngorneq	Lundi
Jannuaari	Janvier
Februaari	Février
Martsi	Mars (mois)
Kenya	Kenya
Apriili	Avril
Maaji	Mai
Juuni	Juin
Juuli	Juillet
Aggusti	Août
Septemberi	Septembre
Oktoberi	Octobre
Novemberi	Novembre
Decemberi	Décembre
Marlunngorneq	Mardi
Pingasunngorneq	Mercredi
Sisamanngorneq	Jeudi
Tallimanngorneq	Vendredi
Arfininngorneq	Samedi
Sapaat	Dimanche
Franskit Nunaat	France
Esperanto	Espéranto
Tuluit Nunaat	Royaume-Uni
Kina	Chine
Franskisut	Français
Brazil	Brésil
Ruslandi	Russie
Toronto	Toronto
São Paulo	São Paulo
Québec	Québec
Wikimedia	Wikimedia Foundation
Tyskit Nunaat	Allemagne
Hvideruslandi	Biélorussie
Tyskisut	Allemand
Islandi	Islande
Estlandi	Estonie
Letlandi	Lettonie
Ukraine	Ukraine
Tjekkia	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Vilnius	Vilnius
Moldova	Moldavie
Rumænia	Roumanie
Bulgaria	Bulgarie
Roma	Rome
Makedonia	Macédoine (pays)
Albania	Albanie
Kalaallit Nunaat	Groenland
Kroatia	Croatie
Bosnia-Hercegovina	Bosnie-Herzégovine
Nuuk	Nuuk
Aserbajdsjan	Azerbaïdjan
Andorra	Andorre
Cyperni	Chypre (pays)
Georgia	Géorgie (pays)
Kasakhstani	Kazakhstan
Malta	Malte
Monaco	Monaco
Montenegro	Monténégro
Vatikani	Vatican
San Marino	Saint-Marin
Bruxelles	Ville de Bruxelles
Indonesia	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Tyrkiskisut	Turc
Poznań	Poznań
Warszawa	Varsovie
Eurovision Song Contest	Concours Eurovision de la chanson
Islandimiusut	Islandais
Claude Monet	Claude Monet
Diego Velázquez	Diego Vélasquez
Chile	Chili
El Greco	El Greco
Jiisusi-Kristus	Jésus-Christ
Oqaluttuarisaaneq	Histoire
Oqaatsit	Langage
Galaxy	Galaxie
Ulloriarsiorneq	Astronomie
Singapore	Singapour
Montréal	Montréal
Liechtensteini	Liechtenstein
Timersorneq	Sport
Szczecin	Szczecin
Matematikki	Mathématiques
Latiinerisut	Latin
Bahrain	Bahreïn
Serbia	Serbie
Qaammat	Lune
Istanbul	Istanbul
Australia	Australie
Uumaatsulerineq	Physique
Argentina	Argentine
Peru	Pérou
Uumassusililerineq	Biologie
Korea Avannarleq	Corée du Nord
Islam	Islam
Lech Wałęsa	Lech Wałęsa
Lyon	Lyon
EU	Union européenne
Sofia	Sofia
Mount Everest	Everest
Oceania	Océanie
Wikimedia Commons	Wikimedia Commons
Łódź	Łódź
Oslo	Oslo
Katowice	Katowice
Dubai	Dubaï (émirat)
Lionel Messi	Lionel Messi
Nipilersorneq	Musique
Rennes	Rennes
Lille	Lille
Moskva	Moscou
Sankt Petersborg	Saint-Pétersbourg
New Zealand	Nouvelle-Zélande
India	Inde
Mongolia	Mongolie
Venezuela	Venezuela
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Eqqumiitsuliorneq	Art
Ecuador	Équateur (pays)
Colombia	Colombie
Bolivia	Bolivie
Naasut	Plante
Białystok	Białystok
Leonardo da Vinci	Léonard de Vinci
Iran	Iran
Iraq	Irak
Israel	Israël
Yemen	Yémen
Polenimiutut	Polonais
Jordan	Jordanie
Kuwait	Koweït
Lebanon	Liban
Amerika	Amérique
Nepal	Népal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Arabia	Arabie saoudite
Syria	Syrie
Thailandi	Thaïlande
United Arab Emirates	Émirats arabes unis
Vietnam	Viêt Nam
Novosibirsk	Novossibirsk
Korea Kujalleq	Corée du Sud
Jekaterinburg	Iekaterinbourg
Afghanistan	Afghanistan
Nizjnij Novgorod	Nijni Novgorod
Samara	Samara (Russie)
Kuulti	Or
Omsk	Omsk
Kazan	Kazan
Bangladesh	Bangladesh
Tjeljabinsk	Tcheliabinsk
Rostov ved Don	Rostov-sur-le-Don
Ufa	Oufa
Volgograd	Volgograd
Perm	Perm
Tanzania	Tanzanie
Philippines	Philippines
Isaac Newton	Isaac Newton
Beijing	Pékin
New Delhi	New Delhi
Tbilisi	Tbilissi
Libya	Libye
Madagascar	Madagascar
Uganda	Ouganda
FN	Organisation des Nations unies
Nunarsualerineq	Géologie
Ahmedabad	Ahmedabad
Nunalerineq	Géographie
Praha	Prague
Mumbai	Bombay
Jerusalem	Jérusalem
Kosovo	Kosovo
Grenoble	Grenoble
Chicago	Chicago
Spanskisut	Espagnol
Montevideo	Montevideo
Kolkata	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
Hyderabad (India)	Hyderabad
Islamabad	Islamabad
Aapakaaq	Singe
Uetersen	Uetersen
Finlandimiutut	Finnois
Le Mans	Le Mans
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Mexico City	Mexico
Tokyo	Tokyo
La Paz (Bolivia)	La Paz
Patagonien	Patagonie
Abu Dhabi	Abou Dabi (ville)
Baghdad	Bagdad
Caracas	Caracas
Pune	Pune
Hindimiutut	Hindi
Urdumiutut	Ourdou
Wien	Vienne (Autriche)
København	Copenhague
Stockholm	Stockholm
Helsinki	Helsinki
Murmansk	Mourmansk
Reykjavík	Reykjavik
Tallinn	Tallinn
Riga	Riga
Gdańsk	Gdańsk
Wrocław	Wrocław
Kaarasjoki	Karasjok
Luxembourg (illoqarfik)	Luxembourg (ville)
Biibili	Bible
Ho Chi Minh Illoqarfik	Hô-Chi-Minh-Ville
Hanoi	Hanoï
Jesusip Ilumiortup Ilagiissai	Véritable Jésus Église
Tuluttut	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
Odessa	Odessa
Đồng Hới	Đồng Hới
Concepcion, Chile	Concepción (Chili)
Kyiv	Kiev
Ontario	Ontario
Ottawa	Ottawa
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nouvelle-Écosse
Dar es Salaam	Dar es Salam
Nouveau-Brunswick	Nouveau-Brunswick
Britisk Columbia	Colombie-Britannique
Prince Edward Island	Île-du-Prince-Édouard
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Newfoundland aamma Labrador	Terre-Neuve-et-Labrador
Northwest Territories	Territoires du Nord-Ouest
Yukon	Yukon
Nunavut	Nunavut
Iqaluit	Iqaluit
Whitehorse (Canada)	Whitehorse
Yellowknife	Yellowknife
St. John's (Newfoundland aamma Labrador)	Saint-Jean de Terre-Neuve
Edmonton (Canada)	Edmonton
Regina (Canada)	Regina
Charlottetown (Canada)	Charlottetown
Victoria (Canada)	Victoria (Colombie-Britannique)
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Canada)	Halifax (Nouvelle-Écosse)
Québec (illoqarfik)	Québec (ville)
Jannuaari 1	1er janvier
Jannuaari 2	2 janvier
Jannuaari 3	3 janvier
Lund	Lund (Suède)
Jannuaari 4	4 janvier
Jannuaari 5	5 janvier
Arica	Arica (Chili)
Malmö	Malmö
Jannuaari 6	6 janvier
Jannuaari 7	7 janvier
Jannuaari 8	8 janvier
Jannuaari 9	9 janvier
Jannuaari 10	10 janvier
Jannuaari 11	11 janvier
Jannuaari 12	12 janvier
Jannuaari 13	13 janvier
Jannuaari 14	14 janvier
Jannuaari 15	15 janvier
Jannuaari 16	16 janvier
Jannuaari 17	17 janvier
Jannuaari 18	18 janvier
Jannuaari 19	19 janvier
Jannuaari 20	20 janvier
Skien	Skien
Jannuaari 21	21 janvier
Jannuaari 22	22 janvier
Jannuaari 23	23 janvier
Jannuaari 24	24 janvier
Jannuaari 25	25 janvier
Jannuaari 26	26 janvier
Jannuaari 27	27 janvier
Jannuaari 28	28 janvier
Jannuaari 29	29 janvier
Jannuaari 30	30 janvier
Jannuaari 31	31 janvier
Porsgrunn	Porsgrunn
Decemberi 2	2 décembre
Decemberi 1	1er décembre
Decemberi 3	3 décembre
Decemberi 7	7 décembre
Decemberi 5	5 décembre
Decemberi 8	8 décembre
Decemberi 10	10 décembre
Decemberi 6	6 décembre
Decemberi 9	9 décembre
Decemberi 4	4 décembre
Februaari 1	1er février
Februaari 2	2 février
Februaari 3	3 février
Kurów (Puławy eqqaaniittoq)	Kurów
Februaari 4	4 février
Februaari 5	5 février
Februaari 6	6 février
Februaari 7	7 février
Februaari 8	8 février
Februaari 9	9 février
Februaari 10	10 février
Februaari 14	14 février
Februaari 13	13 février
Februaari 15	15 février
Februaari 11	11 février
Februaari 12	12 février
