ఆఫ్రికా	Afrique
థాయిలాండ్	Thaïlande
రైలు	Train
ఆర్సెనిక్	Arsenic
రేడియో	Radiodiffusion
తుర్కమేనిస్తాన్	Turkménistan
సెలీనియం	Sélénium
యునైటెడ్ అరబ్ ఎమిరేట్స్	Émirats arabes unis
బ్రోమిన్	Brome
వియత్నాం	Viêt Nam
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Corée du Sud
ఆఫ్ఘనిస్తాన్	Afghanistan
బంగారం	Or
సూయజ్ కాలువ	Canal de Suez
శాస్త్రవేత్త	Scientifique
బంగ్లాదేశ్	Bangladesh
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Socrate
అంగోలా	Angola
భూటాన్	Bhoutan
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tanzanie
ఫిలిప్పీన్స్	Philippines
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	République centrafricaine
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Strontium
పసుపు (రంగు)	Jaune
ట్యునీషియా	Tunisie
జాంబియా	Zambie
జింబాబ్వే	Zimbabwe
బీజింగ్	Pékin
దక్షిణ సూడాన్	Soudan du Sud
బెనిన్	Bénin
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Comores (pays)
కాంగో రిపబ్లిక్	République du Congo
శాన్ అంటోనియో	San Antonio
జిబౌటి	Djibouti
బవేరియా	Bavière
ఎరిత్రియా	Érythrée
క్రొత్త ఢిల్లీ	New Delhi
దాస్తొయెవ్‌స్కీ	Fiodor Dostoïevski
గబాన్	Gabon
మహాత్మా గాంధీ	Mohandas Karamchand Gandhi
కామిక్స్	Bande dessinée
గాంబియా	Gambie
కోటె డి ఐవొరి	Côte d'Ivoire
కామెరూన్	Cameroun
కేప్ వర్దె	Cap-Vert
లిబియా	Libye
మడగాస్కర్	Madagascar
మౌరిటానియ	Mauritanie
మారిషస్	Maurice (pays)
మొరాకో	Maroc
మొజాంబిక్	Mozambique
నమీబియా	Namibie
నైజర్	Niger
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Ouganda
రువాండా	Rwanda
సెనెగల్	Sénégal
కరోలస్ లిన్నేయస్	Carl von Linné
సొమాలియా	Somalie
నియోబియం	Niobium
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Jules César
సూడాన్	Soudan
ఇంద్రధనస్సు	Arc-en-ciel
టెక్నీషియం	Technétium
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Système immunitaire
గుజరాత్	Gujarat
పరిణామం	Évolution (biologie)
ఐక్యరాజ్య సమితి	Organisation des Nations unies
భూగోళ శాస్త్రము	Géographie
గుండె	Cœur
మెదడు	Cerveau
చర్మము	Peau
రంగు	Couleur
నామవాచకం	Substantif
నీలము	Bleu
వెండి	Argent
కాడ్మియం	Cadmium
తగరము	Étain
అయోడిన్	Iode
సీసియం	Césium
విద్యుద్భరితము	Charge électrique
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Bombay
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu-et-Cachemire
ఫ్యూర్టో రికో	Porto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	Dakota du Nord
సౌత్ డకోటా	Dakota du Sud
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jérusalem
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Océan Indien
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Colorado (fleuve)
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Catégorie:Accueil
ఆల్ప్స్ పర్వతాలు	Alpes
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Hiver
వేసవి కాలం	Été
విషువత్తు	Équinoxe
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Oussama ben Laden
స్పానిష్ భాష	Espagnol
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Philadelphie
కోల్‌కత	Calcutta
చెన్నై	Chennai
ఢిల్లీ	Delhi
ఢాకా	Dacca
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	Bengale-Occidental
సాలెపురుగు	Araneae
ఆర్థ్రోపోడా	Arthropode
హైదరాబాదు	Hyderabad
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Fruit (botanique)
కోతి	Singe
ధనం	Monnaie
వర్జీనియా	Virginie (État)
పశ్చిమ వర్జీనియా	Virginie-Occidentale
న్యూయార్క్ రాష్ట్రం	État de New York
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insecte
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Vladimir Ilitch Lénine
ఒహాయో	Ohio
మాకియవెలీ	Nicolas Machiavel
పెన్సిల్వేనియా	Pennsylvanie
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Auguste
విండోస్	Microsoft Windows
న్యూజెర్సీ	New Jersey
నీరో	Néron
ఇండియానా	Indiana
నోకియా	Nokia
కారు	Automobile
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Géorgie (États-Unis)
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rajasthan
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	Caroline du Nord
మైదాన హాకీ	Hockey sur gazon
సౌత్ కెరొలినా	Caroline du Sud
సిసిలీ	Sicile
మనీలా	Manille
సార్డీనియా	Sardaigne
క్రోన్స్ వ్యాధి	Maladie de Crohn
టోక్యో	Tokyo
అనాస	Ananas
మిసిసిపీ	Mississippi (État)
మిసిసిపీ నది	Mississippi (fleuve)
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Piscine
మిజోరాం	Mizoram
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	Nouveau-Mexique
ఏథెన్స్	Athènes
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Hindi
మరాఠీ భాష	Marathi (langue)
పొగ చుట్ట	Cigare
సిగరెట్	Cigarette
వినాయకుడు	Ganesh
మిస్సోరీ	Missouri (État)
లూసియానా	Louisiane
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Ourdou
ఓక్లహోమా	Oklahoma
డానుబే	Danube
వాలీబాల్	Volley-ball
వియన్నా	Vienne (Autriche)
కోపెన్‌హాగన్	Copenhague
స్టాక్‌హోమ్	Stockholm
కొచ్చి	Cochin (Inde)
బైబిల్	Bible
నిజ ఏసుక్రీస్తు మండలి	Véritable Jésus Église
ఆంగ్ల భాష	Anglais
బ్యాంకాక్	Bangkok
క్యివ్	Kiev
అంటారియో	Ontario
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formule 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Dioxyde de carbone
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Nourriture
పాము	Serpentes
XML	Extensible Markup Language
నోటితో రతి	Sexualité orale
న్యూట్రినో	Neutrino
సన్ గోకు (డ్రాగన్ బాల్)	Son Goku (Dragon Ball)
జనవరి 1	1er janvier
జనవరి 2	2 janvier
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	3 janvier
1919	1919
1921	1921
1922	1922
జనవరి 4	4 janvier
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Ceinture d'astéroïdes
గిఫ్	Graphics Interchange Format
మరుగుజ్జు గ్రహం	Planète naine
జనవరి 5	5 janvier
జనవరి 6	6 janvier
ఎలక్ట్రాన్	Électron
జనవరి 7	7 janvier
జనవరి 8	8 janvier
జనవరి 9	9 janvier
జనవరి 10	10 janvier
జనవరి 11	11 janvier
జనవరి 12	12 janvier
జనవరి 13	13 janvier
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14 janvier
జనవరి 15	15 janvier
జనవరి 16	16 janvier
జనవరి 17	17 janvier
జనవరి 18	18 janvier
జనవరి 19	19 janvier
జనవరి 20	20 janvier
పారిశ్రామిక విప్లవం	Révolution industrielle
జనవరి 21	21 janvier
జనవరి 22	22 janvier
జనవరి 23	23 janvier
జనవరి 24	24 janvier
జనవరి 25	25 janvier
జనవరి 26	26 janvier
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27 janvier
జనవరి 28	28 janvier
జనవరి 29	29 janvier
జనవరి 30	30 janvier
జనవరి 31	31 janvier
ప్రోటాన్	Proton
డిసెంబర్ 2	2 décembre
డిసెంబర్ 1	1er décembre
డిసెంబర్ 3	3 décembre
డిసెంబర్ 7	7 décembre
డిసెంబర్ 5	5 décembre
డిసెంబర్ 8	8 décembre
డిసెంబర్ 10	10 décembre
డిసెంబర్ 6	6 décembre
డిసెంబర్ 9	9 décembre
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4 décembre
ఫిబ్రవరి 1	1er février
ఫిబ్రవరి 2	2 février
ఫిబ్రవరి 3	3 février
కురోవ్	Kurów
ఫిబ్రవరి 4	4 février
ఫిబ్రవరి 5	5 février
ఫిబ్రవరి 6	6 février
ఫిబ్రవరి 7	7 février
ఫిబ్రవరి 8	8 février
ఫిబ్రవరి 9	9 février
ఫిబ్రవరి 10	10 février
రసాయన శాస్త్రము	Chimie
ఫిబ్రవరి 14	14 février
ఫిబ్రవరి 13	13 février
ఫిబ్రవరి 15	15 février
ఫిబ్రవరి 11	11 février
ఫిబ్రవరి 12	12 février
ఫిబ్రవరి 19	19 février
ఫిబ్రవరి 17	17 février
ఫిబ్రవరి 16	16 février
ఫిబ్రవరి 18	18 février
ఫిబ్రవరి 20	20 février
12 యాంగ్రీ మెన్	Douze hommes en colère (film)
న్యూట్రాన్	Neutron
69 భంగిమ	69 (position sexuelle)
ఫిబ్రవరి 21	21 février
ఫిబ్రవరి 22	22 février
ఫిబ్రవరి 23	23 février
ఫిబ్రవరి 24	24 février
ఫిబ్రవరి 25	25 février
ఫిబ్రవరి 26	26 février
ఫిబ్రవరి 27	27 février
ఫిబ్రవరి 28	28 février
డిసెంబర్ 11	11 décembre
ఫిబ్రవరి 29	29 février
డిసెంబర్ 12	12 décembre
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13 décembre
డిసెంబర్ 14	14 décembre
డిసెంబర్ 15	15 décembre
మార్చి 2	2 mars
మార్చి 3	3 mars
మార్చి 5	5 mars
మార్చి 1	1er mars
మార్చి 7	7 mars
మార్చి 8	8 mars
మార్చి 4	4 mars
మార్చి 10	10 mars
మార్చి 11	11 mars
మార్చి 6	6 mars
మార్చి 13	13 mars
మార్చి 9	9 mars
మార్చి 12	12 mars
మార్చి 15	15 mars
మార్చి 14	14 mars
డిసెంబర్ 16	16 décembre
డిసెంబర్ 17	17 décembre
మార్చి 16	16 mars
మార్చి 17	17 mars
మార్చి 18	18 mars
మార్చి 19	19 mars
1989	1989
1988	1988
మార్చి 20	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21 mars
1983	1983
మార్చి 22	22 mars
1982	1982
1981	1981
డిసెంబర్ 18	18 décembre
1980	1980
మార్చి 23	23 mars
డిసెంబర్ 19	19 décembre
మార్చి 24	24 mars
మార్చి 25	25 mars
డిసెంబర్ 20	20 décembre
మార్చి 26	26 mars
మార్చి 27	27 mars
మార్చి 28	28 mars
మార్చి 29	29 mars
మార్చి 30	30 mars
మార్చి 31	31 mars
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15 avril
ఏప్రిల్ 13	13 avril
ఏప్రిల్ 12	12 avril
ఏప్రిల్ 14	14 avril
ఏప్రిల్ 11	11 avril
ఏప్రిల్ 10	10 avril
ఏప్రిల్ 8	8 avril
ఏప్రిల్ 9	9 avril
ఏప్రిల్ 7	7 avril
ఏప్రిల్ 6	6 avril
ఏప్రిల్ 5	5 avril
ఏప్రిల్ 4	4 avril
ఏప్రిల్ 3	3 avril
ఏప్రిల్ 1	1er avril
