Afrika	Afrique
Japan	Japon
Suid-Amerika	Amérique du Sud
Noorweë	Norvège
Engeland	Angleterre
Skotland	Écosse
Wallis	Pays de Galles
Noord-Ierland	Irlande du Nord
Republiek van Ierland	Irlande (pays)
Hongarye	Hongrie
Spanje	Espagne
Verenigde State van Amerika	États-Unis
België	Belgique
Luxemburg	Luxembourg (pays)
Heelal	Univers
Aarde	Terre
Lewe	Vie
Dood	Mort
Mens	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finland	Finlande
Swede	Suède
Denemarke	Danemark
Pole	Pologne
Litaue	Lituanie
Italië	Italie
Switserland	Suisse
Oostenryk	Autriche
Griekeland	Grèce
Turkye	Turquie
Bier	Bière
Portugal	Portugal
Europa	Europe
Asië	Asie
Noord-Amerika	Amérique du Nord
Antarktika	Antarctique
Wikipedia	Wikipédia
Nederland	Pays-Bas
Penis	Pénis
PHP	PHP
New York Stad	New York
Washington, D.C.	Washington (district de Columbia)
San Francisco	San Francisco
Berlyn	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Rekenaar	Ordinateur
Bern	Berne
Genève	Genève
Zürich	Zurich
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Bâle
Rekenaardrukker	Imprimante
MediaWiki	MediaWiki
Londen	Londres
Kaïro	Le Caire
Alexandrië	Alexandrie
Appel	Pomme
Parys	Paris
Abraham Lincoln	Abraham Lincoln
Google Android	Android
Google	Google
Meksiko	Mexique
Atlantiese Oseaan	Océan Atlantique
Stille Oseaan	Océan Pacifique
Kalifornië	Californie
Boston	Boston
Maandag	Lundi
Januarie	Janvier
Februarie	Février
Maart	Mars (mois)
Mars (planeet)	Mars (planète)
Kenia	Kenya
Ethiopië	Éthiopie
Ghana	Ghana
April	Avril
Mei	Mai
Junie	Juin
Julie	Juillet
Augustus	Août
September	Septembre
Oktober	Octobre
November	Novembre
Desember	Décembre
Dinsdag	Mardi
Woensdag	Mercredi
Donderdag	Jeudi
Vrydag	Vendredi
Saterdag	Samedi
Sondag	Dimanche
Loper (skaak)	Fou (échecs)
Pion (skaak)	Pion (échecs)
Ruiter (skaak)	Cavalier (échecs)
Toring (skaak)	Tour (échecs)
Koning (skaak)	Roi (échecs)
Dame (skaak)	Dame (échecs)
Leeu	Lion
Frankryk	France
Esperanto	Espéranto
Hond	Chien
Verenigde Koninkryk	Royaume-Uni
Kat	Chat
Volksrepubliek van Sjina	Chine
Frans	Français
WikiWoordeboek	Wiktionnaire
Vis	Poisson
Etanol	Éthanol
Brasilië	Brésil
Alkohol	Alcool (chimie)
François Hollande	François Hollande
Rusland	Russie
Walvisagtiges	Cetacea
Optiese vesel	Fibre optique
Yorkshire	Yorkshire
Vierkant	Carré
See	Mer
Swartsee	Mer Noire
Pi	Pi
Pi (letter)	Pi (lettre grecque)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo (deelstaat)	État de São Paulo
Quebec	Québec
Pizza	Pizza
Wikimedia-stigting	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Duitsland	Allemagne
Wit-Rusland	Biélorussie
Duits	Allemand
Ysland	Islande
God	Dieu
Estland	Estonie
David Cameron	David Cameron
Saturnus	Saturne (planète)
Saturnus se ringe	Anneaux de Saturne
Sjokolade	Chocolat
Vliegtuig	Avion
Oorlog	Guerre
1 (getal)	1 (nombre)
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Rakfisk	Rakfisk
Reghoek	Rectangle
Letland	Lettonie
Oekraïne	Ukraine
Tsjeggië	République tchèque
Slowakye	Slovaquie
Slowenië	Slovénie
Vilnius	Vilnius
Moldowa	Moldavie
Roemenië	Roumanie
Bulgarye	Bulgarie
Rome	Rome
Republiek van Masedonië	Macédoine (pays)
Albanië	Albanie
Groenland	Groenland
Kroasië	Croatie
Bosnië en Herzegowina	Bosnie-Herzégovine
Nuuk	Nuuk
Azerbeidjan	Azerbaïdjan
Andorra	Andorre
Siprus	Chypre (pays)
Georgië	Géorgie (pays)
Wallonië	Région wallonne
Kasakstan	Kazakhstan
Malta	Malte
Vlaandere	Flandre (Belgique)
Monaco	Monaco
Montenegro	Monténégro
Vatikaanstad	Vatican
San Marino	Saint-Marin
Brussel	Ville de Bruxelles
Brusselse Hoofstedelike Gewes	Région de Bruxelles-Capitale
Kuba	Cuba
Belize	Belize
Eiffel-toring	Tour Eiffel
Barbados	Barbade
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Sleutelbord	Clavier d'ordinateur
Java (programmeertaal)	Java (langage)
Indonesië	Indonésie
QWERTY-sleutelbord	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turks	Turc
Suid-Afrika	Afrique du Sud
Linkin Park	Linkin Park
Algerië	Algérie
Wikisource	Wikisource
Oesbekistan	Ouzbékistan
Sonnedou	Droséra
Poznań	Poznań
Tasjkent	Tachkent
Warskou	Varsovie
Islay	Islay (Écosse)
Eurovision-sangfees	Concours Eurovision de la chanson
Modena	Modène
Whiskey	Whisky
Wyn	Vin
Water	Eau
Konjak	Cognac (eau-de-vie)
Hout	Bois
Televisie	Télévision
Geslag	Sexe
Pornografie	Pornographie
Yslands	Islandais
Diego Velázquez	Diego Vélasquez
Chili	Chili
Jesus van Nasaret	Jésus-Christ
Elvis Presley	Elvis Presley
Galileo Galilei	Galilée (savant)
Mercurius	Mercure (planète)
Geskiedenis	Histoire
Père-Lachaise-begraafplaas	Cimetière du Père-Lachaise
Apple Inc.	Apple
Venus (planeet)	Vénus (planète)
Taal	Langage
Liefde	Amour
Diktatorskap	Dictature
Sterrestelsel	Galaxie
Jupiter (planeet)	Jupiter (planète)
Michelle Bachelet	Michelle Bachelet
Melkweg	Voie lactée
Oerknal	Big Bang
Uranus (planeet)	Uranus (planète)
Engelse Wikipedia	Wikipédia en anglais
Nicolas Sarkozy	Nicolas Sarkozy
Neptunus (planeet)	Neptune (planète)
Sterrekunde	Astronomie
Singapoer	Singapour
Wetenskap	Science
Pluto (dwergplaneet)	Pluton (planète naine)
Montreal	Montréal
Vrye sagteware	Logiciel libre
Quimper	Quimper
Maria	Marie (mère de Jésus)
Lodewyk IX van Frankryk	Louis IX
