Afríka	Afrique
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abú Dabí	Abou Dabi (ville)
Astana	Astana
New Mexico	Nouveau-Mexique
Ramses 2.	Ramsès II
Aþena	Athènes
Hringtorg	Carrefour giratoire
Minnesota	Minnesota
Bagdad	Bagdad
Karakas	Caracas
UTC	Temps universel coordonné
Wisconsin	Wisconsin
Pune	Pune
Cíceró	Cicéron
AC Milan	Associazione Calcio Milan
Iowa	Iowa
Lyon-Saint Exupéry-flugvöllur	Aéroport de Lyon-Saint-Exupéry
Nebraska	Nebraska
Gvatemalaborg	Guatemala (ville)
Kansas	Kansas
Havana	La Havane
Tóbak	Tabac
Hindí	Hindi
Internet Explorer	Internet Explorer
Vindill	Cigare
Sígaretta	Cigarette
Missouri	Missouri (État)
Louisiana	Louisiane
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Úrdú	Ourdou
Charles Lindbergh	Charles Lindbergh
Édith Piaf	Édith Piaf
Saxelfur	Elbe (fleuve)
Oklahoma	Oklahoma
Weser	Weser
Dóná	Danube
Tariku Bekele	Tariku Bekele
Spree	Spree
Norðursjór	Mer du Nord
Skagerrak	Skagerrak
Kíl	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hanovre
Düsseldorf	Düsseldorf
Mainz	Mayence
Wiesbaden	Wiesbaden
Saarbrücken	Sarrebruck
München	Munich
Erfurt	Erfurt
Dresden	Dresde
Magdeburg	Magdebourg
Blak	Volley-ball
Innsbruck	Innsbruck
Bregenz	Bregenz
Vín (Austurríki)	Vienne (Autriche)
Madonna	Madonna
Kaupmannahöfn	Copenhague
Macrinus	Macrin
Stokkhólmur	Stockholm
Helsinki	Helsinki
Dyflinn	Dublin
Elagabalus	Héliogabale
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Sévère Alexandre
Tallinn	Tallinn
Ríga	Riga
Maximinus Thrax	Maximin Ier le Thrace
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Búdapest	Budapest
Gdańsk	Gdańsk
Frankfurt am Main	Francfort-sur-le-Main
Wrocław	Wrocław
Lantan	Lanthane
Stjarnfræðieining	Unité astronomique
Gordianus 3.	Gordien III
Philippus arabi	Philippe l'Arabe
Aceh	Aceh
Rauðvín	Vin rouge
Kalíníngrad	Kaliningrad
Death Note	Death Note
Lúxemborg (borg)	Luxembourg (ville)
Vaduz	Vaduz
Biblían	Bible
San Marínó (borg)	Ville de Saint-Marin
Phnom Penh	Phnom Penh
Túlín	Thulium
Ho Chi Minh-borg	Hô-Chi-Minh-Ville
Ytterbín	Ytterbium
Lútetín	Lutécium
Hanoí	Hanoï
Kirkja hins sanna Jesú	Véritable Jésus Église
Enska	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
Kúala Lúmpúr	Kuala Lumpur
Taípei	Taipei
Ódessa	Odessa
Arkangelskfylki	Oblast d'Arkhangelsk
Đồng Hới	Đồng Hới
Concepción	Concepción (Chili)
Ríkiserindrekstur	Diplomatie
Bologna	Bologne
Petrozavodsk	Petrozavodsk
Cagliari	Cagliari
Kíev	Kiev
Catania	Catane
Ontario	Ontario
Patrice Evra	Patrice Évra
Ottawa	Ottawa
Bacary Sagna	Bacary Sagna
Tungl Júpíters	Satellites naturels de Jupiter
Júba	Djouba
Manitoba	Manitoba
Alberta (fylki)	Alberta
Nova Scotia	Nouvelle-Écosse
Jerevan	Erevan
Vologda	Vologda
Końskowola	Końskowola
Dar es Salaam	Dar es Salam
Kartúm	Khartoum
Formúla 1	Formule 1
Breska Kólumbía	Colombie-Britannique
Eyja Játvarðs prins	Île-du-Prince-Édouard
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Koltvísýringur	Dioxyde de carbone
2013	2013
2014	2014
2015	2015
Nýfundnaland og Labrador	Terre-Neuve-et-Labrador
2008	2008
JavaScript	JavaScript
2004	2004
Vologdafylki	Oblast de Vologda
Wikitravel	Wikitravel
2005	2005
Dragonball	Dragon Ball
2006	2006
Nunavut	Nunavut
2007	2007
Kolmónoxíð	Monoxyde de carbone
Veróna	Vérone
Iqaluit	Iqaluit
1900	1900
1901	1901
Lívíus	Tite-Live
Charles de Gaulle	Charles de Gaulle
1902	1902
Flórens	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	Associazione Calcio Fiorentina
HTML5	HTML5
Lucius Annaeus Seneca	Sénèque
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
1996	1996
David Lynch	David Lynch
1910	1910
1911	1911
1912	1912
SVG	Scalable Vector Graphics
Leipzig	Leipzig
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberg
1999	1999
1917	1917
1918	1918
Matur	Nourriture
Martialis	Martial (poète)
Duisburg	Duisbourg
Slöngur	Serpentes
Bochum	Bochum
Jacques Chirac	Jacques Chirac
Wuppertal	Wuppertal
Ljóshraði	Vitesse de la lumière
Bielefeld	Bielefeld
XML	Extensible Markup Language
Mannheim	Mannheim
Munnmök	Sexualité orale
Fiseind	Neutrino
LOL (netslangur)	LOL (argot internet)
Winnipeg	Winnipeg
Halifax	Halifax (Nouvelle-Écosse)
Québecborg	Québec (ville)
1. janúar	1er janvier
2. janúar	2 janvier
1920	1920
3. janúar	3 janvier
1919	1919
Tacítus	Tacite
1921	1921
1922	1922
Lundur (Svíþjóð)	Lund (Suède)
4. janúar	4 janvier
1923	1923
Biobío-fylki	Région du Biobío
Lance Armstrong	Lance Armstrong
1924	1924
Araucanía-fylki	Région d'Araucanie
Los Ríos-fylki	Région des Fleuves
Los Lagos-fylki	Région des Lacs
Georges Pompidou	Georges Pompidou
Leníngradfylki	Oblast de Léningrad
Graphics Interchange Format	Graphics Interchange Format
Rómúlus og Remus	Romulus et Rémus
Dvergreikistjarna	Planète naine
5. janúar	5 janvier
Malmö	Malmö
6. janúar	6 janvier
Rafeind	Électron
7. janúar	7 janvier
8. janúar	8 janvier
Hólmgarður	Novgorod
9. janúar	9 janvier
10. janúar	10 janvier
11. janúar	11 janvier
12. janúar	12 janvier
Buzz Aldrin	Buzz Aldrin
Scipio Africanus	Scipion l'Africain
Þelamörk	Comté de Telemark
13. janúar	13 janvier
Birmingham	Birmingham
14. janúar	14 janvier
15. janúar	15 janvier
16. janúar	16 janvier
Tom Hanks	Tom Hanks
17. janúar	17 janvier
18. janúar	18 janvier
19. janúar	19 janvier
20. janúar	20 janvier
Iðnbyltingin	Révolution industrielle
Bensen	Benzène
21. janúar	21 janvier
22. janúar	22 janvier
23. janúar	23 janvier
Rómverska keisaradæmið	Empire romain
24. janúar	24 janvier
25. janúar	25 janvier
Minsk	Minsk
26. janúar	26 janvier
Microsoft	Microsoft
27. janúar	27 janvier
28. janúar	28 janvier
29. janúar	29 janvier
30. janúar	30 janvier
31. janúar	31 janvier
Chuck (sjónvarpsþáttur)	Chuck (série télévisée)
Róteind	Proton
2. desember	2 décembre
1. desember	1er décembre
3. desember	3 décembre
7. desember	7 décembre
5. desember	5 décembre
8. desember	8 décembre
10. desember	10 décembre
6. desember	6 décembre
9. desember	9 décembre
Pink Floyd	Pink Floyd
Scipio Aemilianus	Scipion Émilien
4. desember	4 décembre
1. febrúar	1er février
2. febrúar	2 février
3. febrúar	3 février
Kurów	Kurów
4. febrúar	4 février
5. febrúar	5 février
6. febrúar	6 février
7. febrúar	7 février
8. febrúar	8 février
9. febrúar	9 février
10. febrúar	10 février
Efnafræði	Chimie
Led Zeppelin	Led Zeppelin
14. febrúar	14 février
13. febrúar	13 février
15. febrúar	15 février
11. febrúar	11 février
12. febrúar	12 février
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19. febrúar	19 février
17. febrúar	17 février
16. febrúar	16 février
18. febrúar	18 février
20. febrúar	20 février
Efnagreining	Chimie analytique
Nifteind	Neutron
69 (kynlífsstelling)	69 (position sexuelle)
21. febrúar	21 février
22. febrúar	22 février
23. febrúar	23 février
24. febrúar	24 février
25. febrúar	25 février
26. febrúar	26 février
27	27
27. febrúar	27 février
28. febrúar	28 février
11. desember	11 décembre
29. febrúar	29 février
12. desember	12 décembre
C Sharp	C sharp
13. desember	13 décembre
14. desember	14 décembre
15. desember	15 décembre
2. mars	2 mars
3. mars	3 mars
5. mars	5 mars
1. mars	1er mars
7. mars	7 mars
8. mars	8 mars
4. mars	4 mars
10. mars	10 mars
11. mars	11 mars
6. mars	6 mars
13. mars	13 mars
9. mars	9 mars
12. mars	12 mars
15. mars	15 mars
14. mars	14 mars
C++	C++
Saltsýra	Acide chlorhydrique
16. desember	16 décembre
17. desember	17 décembre
16. mars	16 mars
17. mars	17 mars
18. mars	18 mars
19. mars	19 mars
1989	1989
1988	1988
20. mars	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
21. mars	21 mars
1983	1983
22. mars	22 mars
1982	1982
1981	1981
18. desember	18 décembre
1980	1980
23. mars	23 mars
Mógadisjú	Mogadiscio
19. desember	19 décembre
24. mars	24 mars
25. mars	25 mars
20. desember	20 décembre
26. mars	26 mars
27. mars	27 mars
28. mars	28 mars
29. mars	29 mars
30. mars	30 mars
31. mars	31 mars
Sana	Sanaa
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Þrjátíu ára stríðið	Guerre de Trente Ans
Benedikt 16.	Benoît XVI
15. apríl	15 avril
13. apríl	13 avril
12. apríl	12 avril
14. apríl	14 avril
11. apríl	11 avril
10. apríl	10 avril
8. apríl	8 avril
9. apríl	9 avril
7. apríl	7 avril
6. apríl	6 avril
5. apríl	5 avril
4. apríl	4 avril
3. apríl	3 avril
1. apríl	1er avril
2. apríl	2 avril
Hubble-geimsjónaukinn	Hubble (télescope spatial)
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16. apríl	16 avril
17. apríl	17 avril
18. apríl	18 avril
19. apríl	19 avril
20. apríl	20 avril
21. apríl	21 avril
22. apríl	22 avril
23. apríl	23 avril
24. apríl	24 avril
Gerhard Schröder	Gerhard Schröder
25. apríl	25 avril
26. apríl	26 avril
27. apríl	27 avril
28. apríl	28 avril
29. apríl	29 avril
30. apríl	30 avril
Fylgihnöttur	Satellite naturel
Joachim Gauck	Joachim Gauck
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1. maí	1er mai
2. maí	2 mai
3. maí	3 mai
4. maí	4 mai
5. maí	5 mai
Johannes Rau	Johannes Rau
6. maí	6 mai
7. maí	7 mai
8. maí	8 mai
9. maí	9 mai
10. maí	10 mai
11. maí	11 mai
12. maí	12 mai
13. maí	13 mai
14. maí	14 mai
15. maí	15 mai
Richard von Weizsäcker	Richard von Weizsäcker
16. maí	16 mai
17. maí	17 mai
18. maí	18 mai
19. maí	19 mai
20. maí	20 mai
21. maí	21 mai
22. maí	22 mai
23. maí	23 mai
24. maí	24 mai
25. maí	25 mai
26. maí	26 mai
27. maí	27 mai
28. maí	28 mai
29. maí	29 mai
30. maí	30 mai
31. maí	31 mai
Paul McCartney	Paul McCartney
21. desember	21 décembre
Società Sportiva Lazio	Società Sportiva Lazio
14. júní	14 juin
15. júní	15 juin
13. júní	13 juin
10. júní	10 juin
7. júní	7 juin
11. júní	11 juin
9. júní	9 juin
12. júní	12 juin
6. júní	6 juin
8. júní	8 juin
5. júní	5 juin
3. júní	3 juin
2. júní	2 juin
1. júní	1er juin
4. júní	4 juin
Ringo Starr	Ringo Starr
Napólí	Naples
22. desember	22 décembre
SSC Napoli	SSC Naples
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16. júní	16 juin
Palermo	Palerme
30. júní	30 juin
29. júní	29 juin
28. júní	28 juin
26. júní	26 juin
25. júní	25 juin
22. júní	22 juin
27. júní	27 juin
24. júní	24 juin
20. júní	20 juin
23. júní	23 juin
19. júní	19 juin
18. júní	18 juin
21. júní	21 juin
17. júní	17 juin
Chuck Norris	Chuck Norris
23. desember	23 décembre
Vilhjálmur 2. Þýskalandskeisari	Guillaume II (empereur allemand)
Bruce Willis	Bruce Willis
Parma	Parme
Arnold Schwarzenegger	Arnold Schwarzenegger
15. júlí	15 juillet
13. júlí	13 juillet
12. júlí	12 juillet
10. júlí	10 juillet
9. júlí	9 juillet
14. júlí	14 juillet
8. júlí	8 juillet
7. júlí	7 juillet
6. júlí	6 juillet
5. júlí	5 juillet
2. júlí	2 juillet
4. júlí	4 juillet
3. júlí	3 juillet
1. júlí	1er juillet
11. júlí	11 juillet
24. desember	24 décembre
Watford F.C.	Watford Football Club
31. júlí	31 juillet
30. júlí	30 juillet
29. júlí	29 juillet
28. júlí	28 juillet
27. júlí	27 juillet
25. júlí	25 juillet
24. júlí	24 juillet
23. júlí	23 juillet
26. júlí	26 juillet
22. júlí	22 juillet
19. júlí	19 juillet
21. júlí	21 juillet
20. júlí	20 juillet
17. júlí	17 juillet
18. júlí	18 juillet
16. júlí	16 juillet
Knattspyrna	Football
Münster	Münster
Söngleikur	Comédie musicale
25. desember	25 décembre
Ágsborg	Augsbourg
Siena	Sienne
Jaroslav Hašek	Jaroslav Hašek
1963	1963
Lech Kaczyński	Lech Kaczyński
Mönchengladbach	Mönchengladbach
Úrbínó	Urbino
26. desember	26 décembre
Helförin	Shoah
1962	1962
IPhone	IPhone
Brúnsvík	Brunswick (Basse-Saxe)
14. ágúst	14 août
15. ágúst	15 août
13. ágúst	13 août
12. ágúst	12 août
11. ágúst	11 août
10. ágúst	10 août
8. ágúst	8 août
7. ágúst	7 août
9. ágúst	9 août
5. ágúst	5 août
4. ágúst	4 août
2. ágúst	2 août
3. ágúst	3 août
6. ágúst	6 août
1. ágúst	1er août
Grimmsbræður	Jacob et Wilhelm Grimm
Chemnitz	Chemnitz
IPad	IPad
27. desember	27 décembre
Krefeld	Krefeld
Madrid	Madrid
Elton John	Elton John
Kafbátur	Sous-marin
16. ágúst	16 août
Coca-Cola	Coca-Cola
Halle	Halle (Saxe-Anhalt)
29. ágúst	29 août
28. ágúst	28 août
30. ágúst	30 août
25. ágúst	25 août
26. ágúst	26 août
23. ágúst	23 août
27. ágúst	27 août
21. ágúst	21 août
20. ágúst	20 août
24. ágúst	24 août
18. ágúst	18 août
17. ágúst	17 août
22. ágúst	22 août
19. ágúst	19 août
31. ágúst	31 août
Michael Jackson	Michael Jackson
28. desember	28 décembre
Freiburg (Þýskaland)	Fribourg-en-Brisgau
Inflúensa	Grippe
Bógóta	Bogota
Lübeck	Lübeck
Brasilía (borg)	Brasilia
15. september	15 septembre
14. september	14 septembre
13. september	13 septembre
12. september	12 septembre
8. september	8 septembre
11. september	11 septembre
7. september	7 septembre
10. september	10 septembre
5. september	5 septembre
4. september	4 septembre
9. september	9 septembre
2. september	2 septembre
6. september	6 septembre
1. september	1er septembre
3. september	3 septembre
Rostock	Rostock
29. desember	29 décembre
Kassel	Cassel (Hesse)
Líma	Lima
Hamm	Hamm
30. september	30 septembre
29. september	29 septembre
28. september	28 septembre
27. september	27 septembre
26. september	26 septembre
25. september	25 septembre
Santíagó	Santiago
23. september	23 septembre
22. september	22 septembre
24. september	24 septembre
21. september	21 septembre
20. september	20 septembre
18. september	18 septembre
17. september	17 septembre
19. september	19 septembre
16. september	16 septembre
Quito	Quito
30. desember	30 décembre
Súkre	Sucre (Bolivie)
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Ludwigshafen	Ludwigshafen
31. desember	31 décembre
1. október	1er octobre
Osnabrück	Osnabrück
15. október	15 octobre
12. október	12 octobre
10. október	10 octobre
14. október	14 octobre
9. október	9 octobre
8. október	8 octobre
13. október	13 octobre
7. október	7 octobre
11. október	11 octobre
6. október	6 octobre
4. október	4 octobre
5. október	5 octobre
3. október	3 octobre
2. október	2 octobre
Asúnsjón	Asuncion
Geit	Chèvre
Kálfur	Veau
Aldinborg	Oldenbourg
Leverkusen	Leverkusen
Sixtínska kapellan	Chapelle Sixtine
Versalahöll	Château de Versailles
Þéttmerski	Arrondissement de Dithmarse
Neuss	Neuss
31. október	31 octobre
30. október	30 octobre
29. október	29 octobre
28. október	28 octobre
26. október	26 octobre
25. október	25 octobre
24. október	24 octobre
27. október	27 octobre
22. október	22 octobre
23. október	23 octobre
20. október	20 octobre
21. október	21 octobre
19. október	19 octobre
17. október	17 octobre
16. október	16 octobre
18. október	18 octobre
Heidelberg	Heidelberg
Paderborn	Paderborn
Darmstadt	Darmstadt
Dómkirkja	Cathédrale
Regensburg	Ratisbonne
Notre Dame	Cathédrale Notre-Dame de Paris
15. nóvember	15 novembre
14. nóvember	14 novembre
13. nóvember	13 novembre
12. nóvember	12 novembre
11. nóvember	11 novembre
10. nóvember	10 novembre
7. nóvember	7 novembre
8. nóvember	8 novembre
9. nóvember	9 novembre
6. nóvember	6 novembre
5. nóvember	5 novembre
4. nóvember	4 novembre
3. nóvember	3 novembre
2. nóvember	2 novembre
1. nóvember	1er novembre
Würzburg	Wurtzbourg
Paramaríbó	Paramaribo
Ingolstadt	Ingolstadt
Ulm	Ulm
Wolfsburg	Wolfsbourg
30. nóvember	30 novembre
29. nóvember	29 novembre
28. nóvember	28 novembre
27. nóvember	27 novembre
26. nóvember	26 novembre
25. nóvember	25 novembre
23. nóvember	23 novembre
24. nóvember	24 novembre
21. nóvember	21 novembre
20. nóvember	20 novembre
22. nóvember	22 novembre
19. nóvember	19 novembre
18. nóvember	18 novembre
17. nóvember	17 novembre
16. nóvember	16 novembre
Göttingen	Göttingen
Katmandú	Katmandou
Hudsonflói	Baie d'Hudson
Offenbach am Main	Offenbach-sur-le-Main
Belmópan	Belmopan
Karlamagnús	Charlemagne
Pforzheim	Pforzheim
San José	San José (Costa Rica)
Pönk	Punk rock
Umferðarlög	Code de la route
Fürth	Fürth
Shoemaker-Levy 9	Shoemaker-Levy 9
Reutlingen	Reutlingen
Koblenz	Coblence
Sylt	Sylt
Canberra	Canberra
Íó (tungl)	Io (lune)
Erlangen	Erlangen
Föhr	Föhr
Sydney	Sydney
Grænn	Vert
Kallistó (tungl)	Callisto (lune)
Trier	Trèves (Allemagne)
Hudsonfljót	Fleuve Hudson
Melbourne	Melbourne
Rauður	Rouge
Evrópa (tungl)	Europe (lune)
Jena	Iéna
Kúrsk	Koursk
Ganýmedes (tungl)	Ganymède (lune)
Fehmarn	Fehmarn
Perth	Perth (Australie-Occidentale)
Hildesheim	Hildesheim
Eldur	Feu
Ljóseind	Photon
Galíleótunglin	Satellite galiléen
Vestur-Ástralía	Australie-Occidentale
Cottbus	Cottbus
Nýja Suður-Wales	Nouvelle-Galles du Sud
Jáeind	Positron
Gufuhvolf	Atmosphère terrestre
Norðursvæðið	Territoire du Nord
Rügen	Rügen
Tegucigalpa	Tegucigalpa
Usedom	Usedom
Höfuðborgarsvæði Ástralíu	Territoire de la capitale australienne
Winnipegvatn	Lac Winnipeg
Managva	Managua
Cher (sýsla)	Cher (département)
Límeind	Gluon
Karl hamar	Charles Martel
Panamaborg	Panama (ville)
Egða	Eider (fleuve)
Títanía (tungl)	Titania (lune)
Belgorodfylki	Oblast de Belgorod
Óberon (tungl)	Obéron (lune)
George Orwell	George Orwell
Amelia Earhart	Amelia Earhart
Zugspitze	Zugspitze
Eure-et-Loir (sýsla)	Eure-et-Loir
Níl	Nil
Hertfordshire	Hertfordshire
Súmatra	Sumatra
Campobasso	Campobasso
Kongófljót	Congo (fleuve)
Bari	Bari
Nígerfljót	Niger (fleuve)
Rabat	Rabat
Halastjarna	Comète
Algeirsborg	Alger
Senegalfljót	Sénégal (fleuve)
Túnis (borg)	Tunis
Trípólí	Tripoli (Libye)
Jack Angel	Jack Angel
Antofagasta	Antofagasta
Teheran	Téhéran
Karlovac	Karlovac
Addis Ababa	Addis-Abeba
Djakarta	Jakarta
Verbania	Verbania
Ankara	Ankara
Asmara	Asmara
N'Djamena	N'Djaména
Níamey	Niamey
Krasnodarfylki	Kraï de Krasnodar
Núaksjott	Nouakchott
Ríad	Riyad
1961	1961
Bamakó	Bamako
Fet	Pied (unité)
Belgrad	Belgrade
Dakar	Dakar
Kónakrí	Conakry
Adigea	Adyguée
Bissá	Bissau
Flokkur:Snið	Catégorie:Espace Modèle
Monróvía	Monrovia
Gera	Gera
Praia	Praia
1960	1960
Java	Java (île)
Kaiserslautern	Kaiserslautern
Flokkur:Þemasnið	Catégorie:Modèle par thème
Akkra	Accra
Damaskus	Damas
Yamoussoukro	Yamoussoukro
Franska Gvæjana	Guyane
Quentin Tarantino	Quentin Tarantino
Ouagadougou	Ouagadougou
Freetown	Freetown
Amasónfljót	Amazone (fleuve)
Esslingen	Esslingen am Neckar
Abuja	Abuja
Lomé	Lomé
Flensborg	Flensbourg
Porto Novo	Porto-Novo
Limafjörður	Limfjord
Hanau	Hanau
Litlu-Sundaeyjar	Petites îles de la Sonde
Amman	Amman
Tübingen	Tübingen
Jánde	Yaoundé
Coyhaique	Coyhaique
Súlavesí	Célèbes
Malabó	Malabo
Beirút	Beyrouth
Libreville	Libreville
Múskat (borg)	Mascate
Mólúkkaeyjar	Moluques
Bangví	Bangui
Konstanz	Constance (Allemagne)
Kinsasa	Kinshasa
Brazzaville	Brazzaville
Vestur-Nýja-Gínea	Nouvelle-Guinée occidentale
Worms	Worms (Allemagne)
Bújúmbúra	Bujumbura
Nikósía	Nicosie
Wilhelmshaven	Wilhelmshaven
Kígalí	Kigali
Doha	Doha
Smástirni	Astéroïde
Dódóma	Dodoma
Marburg	Marbourg
Naíróbí	Nairobi
Taugasálfræði	Neuropsychologie
Corral	Corral (Chili)
Lílongve	Lilongwe
Flokkur:Landafræðisnið	Catégorie:Modèle géographique
Lúsaka	Lusaka
Manama	Manama
Amazon.com	Amazon.com
Sólmyrkvi	Éclipse solaire
Mapútó	Maputo
Kampala	Kampala
Adidas	Adidas
Lúanda	Luanda
Móróní	Moroni (Comores)
Mbabane	Mbabane
Galisía	Galice
Maserú	Maseru
Albert 2. Belgíukonungur	Albert II (roi des Belges)
Tvíundakerfi	Système binaire
Skóli	École
Antananarívó	Antananarivo
Háskóli	Université
Gaboróne	Gaborone
Lüneburg	Lunebourg
Harare	Harare
Bayreuth	Bayreuth
Grace Kelly	Grace Kelly
Pretoría	Pretoria
Astrakan	Astrakhan
Port Louis	Port-Louis (Maurice)
Borðtennis	Tennis de table
Brandenburg an der Havel	Brandebourg-sur-la-Havel
Astúría	Asturies
Windhoek	Windhoek
Bamberg	Bamberg
Sprengistjarna	Supernova
Wikipedia:Sandkassinn	Wikipédia:Bac à sable
Astrakanfylki	Oblast d'Astrakhan
Grenndarhópurinn	Groupe local
Wikipedia:Kynning	Aide:Premiers pas
Kantabría	Cantabrie
Hús	Maison
Neptúnus (guð)	Neptune (mythologie)
Weimar	Weimar
Bær	Bourg
Fartölva	Ordinateur portable
Vélbúnaður	Matériel informatique
Algebra	Algèbre
Liège	Liège
Baskaland	Pays basque (communauté autonome)
Líffærafræði mannsins	Anatomie humaine
Landakort	Carte géographique
Navarra	Communauté forale de Navarre
Á (landslagsþáttur)	Rivière
Frankfurt (Oder)	Francfort-sur-l'Oder
Paul Simon	Paul Simon (chanteur)
Duke Ellington	Duke Ellington
Osasco	Osasco (Brésil)
Aragon	Aragon (communauté autonome)
Hameln	Hamelin (Allemagne)
Stralsund	Stralsund
Göppingen	Göppingen
Hornhöfði	Cap Horn
Eschweiler	Eschweiler (Allemagne)
Ammóníak	Ammoniac
Góðrarvonarhöfði	Cap de Bonne-Espérance
Glasgow	Glasgow
Greifswald	Greifswald
Baden-Baden	Baden-Baden
Chris Rock	Chris Rock
Brennisteinssýra	Acide sulfurique
IJsselmeer	IJsselmeer
Bodenvatn	Lac de Constance
Waiblingen	Waiblingen
Neuschwanstein	Château de Neuschwanstein
Donghoiflugvöllur	Aéroport de Đồng Hới
Geimur	Espace (cosmologie)
Dómkirkjan í Köln	Cathédrale de Cologne
45 f.Kr.	45 av. J.-C.
Wetzlar	Wetzlar
46 f.Kr.	46 av. J.-C.
Sjálfsævisaga	Autobiographie
Harzfjöll	Harz
Luzern	Lucerne
41 f.Kr.	41 av. J.-C.
Cuxhaven	Cuxhaven
42 f.Kr.	42 av. J.-C.
Nifteindastjörnur	Étoile à neutrons
Svartiskógur	Forêt-Noire
25 f.Kr.	25 av. J.-C.
Ned Beatty	Ned Beatty
Sjónauki	Télescope
Miley Cyrus	Miley Cyrus
Sjöfjallaland	Siebengebirge
Flokkur:Mannanöfn eftir menningu	Catégorie:Nom par culture
Wii stöðvar	Mii
Útvarpsbylgjur	Onde radio
Flokkur:Saga Benín	Catégorie:Histoire du Bénin
Smjörlíki	Margarine
Móðurborð	Carte mère
Flokkur:Saga Bangladess	Catégorie:Histoire du Bangladesh
Arnaut Daniel	Arnaut Daniel
Curitiba	Curitiba
Pangea	Pangée
Vestur-Afríka	Afrique de l'Ouest
Flokkur:Saga Tyrklands	Catégorie:Histoire de la Turquie
Skógur	Forêt
Flokkur:Saga Japans	Catégorie:Histoire du Japon
Flokkur:1888	Catégorie:1888
Zichyújfalu	Zichyújfalu
Harður diskur	Disque dur
Emily Dickinson	Emily Dickinson
Flokkur:Klaufdýr	Catégorie:Artiodactyla
Despicable Me	Moi, moche et méchant
