Afirka	Afrique
Japan	Japon
Norway	Norvège
Ireland	Irlande (pays)
Hungariya	Hongrie
An Spàinn	Espagne
Amurika	États-Unis
Beljik	Belgique
Luksamburg	Luxembourg (pays)
Duniya	Terre
Yan-adam	Homo sapiens
Finland	Finlande
Sweden	Suède
Denmark	Danemark
Poland	Pologne
Lithuania	Lituanie
Italiya	Italie
Switzerland	Suisse
Austriya	Autriche
Greek	Grèce
Turkiyya	Turquie
Portugal	Portugal
Turai	Europe
Asiya	Asie
Amirka ta Arewa	Amérique du Nord
Wikipedia	Wikipédia
Berlin	Berlin
Airbus	Airbus
Na'ura	Ordinateur
Yanar gizo	Internet
Barack Obama	Barack Obama
Pariis	Paris
Kenya	Kenya
Ethiopia	Éthiopie
Zaki	Lion
Faransa	France
Esperanto	Espéranto
Kare	Chien
Birtaniya	Royaume-Uni
Kyanwa	Chat
Sin	Chine
Kifi	Poisson
Rasha	Russie
Teku	Mer
São Paulo	São Paulo
Jamus	Allemagne
Iceland	Islande
Istoniya	Estonie
Jirgin sama	Avion
Ɗaya	1 (nombre)
Biyu	2 (nombre)
Uku	3 (nombre)
Huɗu	4 (nombre)
Biyar	5 (nombre)
Laitfiya	Lettonie
Ukraniya	Ukraine
Kazech	République tchèque
Slofakiya	Slovaquie
Sloveniya	Slovénie
MOldufiniya	Moldavie
Romainiya	Roumanie
Bulgairiya	Bulgarie
Masadoiniya	Macédoine (pays)
Albaniya	Albanie
Kroatiya	Croatie
Azerbaijan	Azerbaïdjan
Andorra	Andorre
Cyprus	Chypre (pays)
Georgia (country)	Géorgie (pays)
Kazakystan	Kazakhstan
Malta	Malte
Monaco	Monaco
Montenegro	Monténégro
Vatican	Vatican
San Marino	Saint-Marin
Indonesiya	Indonésie
Afirka ta kudu	Afrique du Sud
Aljeriya	Algérie
Uzbekistan	Ouzbékistan
Ruwa	Eau
Chile	Chili
Isa Almasihu	Jésus-Christ
Singafora	Singapour
Ilmi	Science
Liechtenstein	Liechtenstein
Hitler	Adolf Hitler
Facebook	Facebook
Baharain	Bahreïn
Armeniya	Arménie
Serbiya	Serbie
Wata	Lune
Santanbul	Istanbul
Asturaliya	Australie
Koriya ta Arewa	Corée du Nord
Kambodiya	Cambodge
Musulunci	Islam
Rana	Soleil
Angela Merkel	Angela Merkel
Timor-Leste	Timor oriental
Duniyoyi	Planète
Cadi	Tchad
Indiya	Inde
Mangolia	Mongolie
Dabba	Animal
Shuka	Plante
Kaza	Gallus gallus domesticus
Jersey	Jersey
Aladu	Porc
Iran	Iran
Irak	Irak
Isra'ila	Israël
Yemen	Yémen
Jordan	Jordanie
Kyrgystan	Kirghizistan
Kuwait	Koweït
Laos	Laos
Lebanon	Liban
Maldives	Maldives
Maleziya	Malaisie
Myanmar	Birmanie
Nepal	Népal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudiyya	Arabie saoudite
